Season	CELKEM_PS	PS_ZPS	KOD_ZSJ	DYWIN	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs	NAZ_ZSJ	Obyv_total
P03-202001	860	833	127337	D	52	9	7	1	1	52	0	1	0	0	0	0	16	9	20	587	666	88	80	Na Ohradì	5612
P03-202001	436	422	127345	D	62	4	4	3	3	53	1	1	0	0	0	0	18	8	16	322	356	90	84	Vápenka	2267
P03-202001	332	316	127353	D	45	6	4	2	1	45	0	1	0	0	0	0	10	8	32	190	216	88	68	Židovské pece	1625
P03-202001	526	503	127370	D	23	6	9	1	8	29	1	3	0	0	1	1	5	13	40	236	304	78	60	Vrch Svatého køíže	827
P03-202001	545	503	127388	D	49	6	8	3	3	51	0	4	1	0	1	1	8	16	15	349	427	82	85	Havlíèkovo námìstí	2698
P03-202001	718	670	127396	D	50	6	7	2	2	49	0	3	0	0	0	0	11	15	18	453	551	82	82	Komenského námìstí	4498
P03-202001	95	92	127400	D	36	7	6	1	5	41	0	0	0	0	1	1	9	16	28	52	66	78	72	Vrch Žižkov	10
P03-202001	1083	1042	127418	D	53	8	9	1	1	55	0	3	1	0	0	0	11	12	16	750	878	85	84	Pod Pražaèkou	6263
P03-202001	849	816	127426	D	35	4	5	1	4	36	0	2	0	0	0	0	7	12	38	404	502	81	62	Na Krejcárku	3033
P03-202001	212	201	127434	D	17	1	6	1	2	22	0	1	0	0	0	0	2	6	67	54	66	82	33	Na Balkánì	6
P03-202001	590	562	127442	D	56	3	3	3	2	48	0	0	0	0	0	0	16	6	23	401	432	93	77	Chmelnice	3093
P03-202001	732	711	127451	D	48	3	2	4	1	40	0	0	0	0	0	0	16	7	33	430	477	90	67	Jarov	3619
P03-202001	604	587	127469	D	42	3	3	3	0	37	0	1	0	0	0	0	11	8	38	320	365	88	62	Vackov	2456
P03-202001	307	298	127493	D	9	4	3	1	7	13	0	1	0	0	0	0	2	10	66	70	100	70	34	Olšanské høbitovy	96
P03-202001	573	545	127507	D	48	3	9	2	4	43	0	2	0	0	1	0	15	13	20	360	433	83	80	Stromky	2993
P03-202001	961	933	127515	D	51	9	6	2	2	47	0	3	0	0	1	0	17	11	16	679	782	87	84	Flora	4799
P03-202001	666	639	127523	D	51	7	8	3	3	49	0	4	1	0	1	0	13	15	13	458	556	82	87	Øipská	4059
P03-202001	1032	983	127531	D	62	8	6	2	2	58	0	2	0	0	0	0	17	11	9	785	897	87	91	U Olšan	6177
P03-202001	950	913	127540	D	58	9	6	2	1	57	0	3	1	0	0	0	14	12	9	716	830	86	91	Námìstí Jiøího z Podìbrad	4037
P03-202001	790	753	127558	D	52	8	7	2	3	54	0	2	0	0	1	0	12	11	15	559	642	87	85	Škroupovo námìstí	4032
P03-202001	928	899	127566	D	48	4	7	2	1	48	0	3	0	0	0	0	9	14	23	567	690	82	77	Sladkovského námìstí	5591
P03-202001	270	265	127574	D	18	3	9	5	8	25	0	3	1	1	1	0	5	19	36	119	168	71	64	U Rajské zahrady	50
P03-202001	815	793	127582	D	43	6	5	3	2	45	0	3	0	0	0	0	7	15	25	476	593	80	75	Kostnické námìstí	4684
P03-202001	36	34	315761	D	6	0	0	0	0	6	0	0	0	0	0	0	0	7	86	2	5	47	14	U nákladového nádraží	98
P03-202001	860	833	127337	N	63	10	8	1	0	64	0	1	0	0	0	0	16	11	7	690	778	89	93	Na Ohradì	5612
P03-202001	436	422	127345	N	73	5	4	4	2	65	1	0	0	0	0	0	19	9	3	371	410	91	97	Vápenka	2267
P03-202001	332	316	127353	N	56	7	4	3	0	59	0	1	0	0	0	0	9	9	19	227	255	89	81	Židovské pece	1625
P03-202001	526	503	127370	N	24	6	3	0	1	29	0	1	0	0	0	0	4	6	60	173	201	86	40	Vrch Svatého køíže	827
P03-202001	545	503	127388	N	56	6	6	2	1	57	1	3	1	0	1	1	7	16	13	357	435	82	87	Havlíèkovo námìstí	2698
P03-202001	718	670	127396	N	59	7	5	1	1	58	0	2	0	0	0	0	11	13	15	482	571	84	85	Komenského námìstí	4498
P03-202001	95	92	127400	N	50	10	6	1	1	54	0	0	0	0	0	1	12	16	16	62	77	80	84	Vrch Žižkov	10
P03-202001	1083	1042	127418	N	61	10	8	1	0	66	0	1	0	0	1	0	11	11	10	831	943	88	90	Pod Pražaèkou	6263
P03-202001	849	816	127426	N	43	5	4	2	1	45	0	1	0	0	0	0	7	11	34	453	542	84	66	Na Krejcárku	3033
P03-202001	212	201	127434	N	24	0	4	2	1	27	0	0	0	0	1	0	2	5	64	61	72	85	36	Na Balkánì	6
P03-202001	590	562	127442	N	69	4	2	4	0	62	1	0	0	0	0	0	16	7	12	457	495	92	88	Chmelnice	3093
P03-202001	732	711	127451	N	63	4	2	5	0	55	0	1	0	0	0	0	17	9	16	534	594	90	84	Jarov	3619
P03-202001	604	587	127469	N	51	3	3	3	0	48	0	1	0	0	0	0	11	10	28	369	425	87	72	Vackov	2456
P03-202001	307	298	127493	N	12	5	2	1	2	16	0	1	0	0	0	0	3	8	71	63	86	73	29	Olšanské høbitovy	96
P03-202001	557	529	127507	N	59	4	5	1	1	52	0	1	0	0	1	0	16	9	20	374	421	89	80	Stromky	2993
P03-202001	961	933	127515	N	67	13	5	2	1	64	0	2	0	0	1	0	19	9	3	824	910	91	97	Flora	4799
P03-202001	666	639	127523	N	63	10	7	2	1	61	0	4	1	0	0	0	15	13	4	528	613	86	96	Øipská	4059
P03-202001	1032	983	127531	N	75	10	6	1	0	71	0	2	0	0	0	0	18	11	0	900	1005	90	102	U Olšan	6177
P03-202001	950	913	127540	N	70	10	6	2	0	68	0	2	0	0	1	0	16	11	1	802	905	89	99	Námìstí Jiøího z Podìbrad	4037
P03-202001	790	753	127558	N	63	9	8	2	1	66	0	2	0	0	1	0	13	11	6	630	709	89	94	Škroupovo námìstí	4032
P03-202001	928	899	127566	N	57	4	6	2	1	57	0	2	0	0	1	0	9	14	15	632	760	83	85	Sladkovského námìstí	5591
P03-202001	270	265	127574	N	19	1	4	2	2	20	0	2	0	0	0	0	3	15	56	77	117	66	44	U Rajské zahrady	50
P03-202001	815	793	127582	N	52	6	4	2	1	54	0	2	0	0	0	0	7	14	20	521	636	82	80	Kostnické námìstí	4684
P03-202001	36	34	315761	N	12	0	1	0	0	13	0	1	0	0	0	0	0	13	74	5	9	51	26	U nákladového nádraží	98
P03-202001	45	43	127396	X	21	0	0	0	0	19	0	0	0	0	0	0	2	16	63	9	16	56	37	Komenského námìstí	4498
P03-202001	124	122	127574	X	0	0	0	0	0	0	0	0	0	0	0	0	0	2	98	0	2	0	2	U Rajské zahrady	50
P03-202001	84	81	127582	X															100		0		0	Kostnické námìstí	4684
P03-202001	10	10	127337	X15	25	10	0	10	0	35	0	10	0	0	0	0	0	20	35	5	7	69	65	Na Ohradì	5612
P03-202001	398	392	127370	X15	21	4	3	0	0	23	0	1	0	0	0	0	4	4	67	112	128	87	33	Vrch Svatého køíže	827
P03-202001	8	8	127388	X15	50	13	13	0	0	75	0	0	0	0	0	0	0	13	12	6	7	86	88	Havlíèkovo námìstí	2698
P03-202001	291	279	127396	X15	32	4	2	0	0	34	0	0	0	0	0	0	4	15	46	110	151	73	54	Komenského námìstí	4498
P03-202001	115	107	127418	X15	21	5	3	0	1	27	0	1	0	0	0	0	2	9	61	32	42	77	39	Pod Pražaèkou	6263
P03-202001	168	161	127493	X15															100		0		0	Olšanské høbitovy	96
P03-202001	514	488	127507	X15	51	3	4	0	1	44	0	1	0	0	0	0	13	12	29	287	346	83	71	Stromky	2993
P03-202001	541	530	127515	X15	34	9	3	1	1	34	0	2	0	0	0	0	10	10	43	251	302	83	57	Flora	4799
P03-202001	495	473	127523	X15	47	6	4	2	1	45	1	2	0	0	0	0	10	18	22	284	369	77	78	Øipská	4059
P03-202001	20	19	127558	X15	49	6	4	0	0	45	0	4	0	0	0	0	9	45	0	11	20	56	103	Škroupovo námìstí	4032
P03-202001	157	154	127574	X15															100		0		0	U Rajské zahrady	50
P03-202001	84	81	127582	X15	20	0	1	0	1	16	0	1	0	0	0	0	4	12	65	18	28	64	35	Kostnické námìstí	4684
P03-202001	13	11	315761	X15															100		0		0	U nákladového nádraží	98
P03-202001	805	781	127337	X67	62	8	6	1	1	59	0	1	0	0	0	0	16	14	9	601	710	85	91	Na Ohradì	5612
P03-202001	436	422	127345	X67	65	3	4	3	3	58	1	0	0	0	0	0	16	15	8	328	390	84	92	Vápenka	2267
P03-202001	332	316	127353	X67	40	4	2	3	1	42	0	1	0	0	0	0	5	12	38	157	195	80	62	Židovské pece	1625
P03-202001	526	503	127370	X67	17	5	3	0	1	19	0	2	0	0	0	0	4	14	59	132	205	65	41	Vrch Svatého køíže	827
P03-202001	545	503	127388	X67	46	4	5	0	1	47	0	2	0	0	0	0	6	31	12	287	443	65	88	Havlíèkovo námìstí	2698
P03-202001	718	670	127396	X67	51	4	4	1	1	48	0	1	0	0	0	0	11	20	19	410	541	76	81	Komenského námìstí	4498
P03-202001	95	92	127400	X67	41	9	3	0	2	48	0	0	0	0	0	0	5	32	13	51	80	64	87	Vrch Žižkov	10
P03-202001	1083	1042	127418	X67	52	6	5	0	1	54	0	1	0	0	0	0	8	16	19	678	849	80	81	Pod Pražaèkou	6263
P03-202001	837	804	127426	X67	35	3	3	1	1	36	0	1	0	0	0	0	6	14	43	347	457	76	57	Na Krejcárku	3033
P03-202001	212	201	127434	X67	17	1	4	1	0	19	1	1	0	0	1	0	1	6	71	45	58	78	29	Na Balkánì	6
P03-202001	590	562	127442	X67	61	3	2	3	1	53	0	0	0	0	0	0	15	14	16	394	473	83	84	Chmelnice	3093
P03-202001	732	711	127451	X67	49	3	2	2	1	42	0	0	0	0	0	0	14	10	33	405	477	85	67	Jarov	3619
P03-202001	604	587	127469	X67	47	3	2	2	0	43	0	1	0	0	0	0	10	15	30	321	410	78	70	Vackov	2456
P03-202001	307	298	127493	X67	5	2	1	0	0	6	0	0	0	0	0	0	2	24	67	26	97	27	33	Olšanské høbitovy	96
P03-202001	557	529	127507	X67	51	3	4	0	0	42	0	1	0	0	0	0	15	14	27	309	386	80	73	Stromky	2993
P03-202001	961	933	127515	X67	60	8	4	1	1	53	0	2	0	0	0	0	17	18	9	679	845	80	91	Flora	4799
P03-202001	666	639	127523	X67	52	4	5	1	1	46	1	2	1	0	0	0	12	25	12	400	560	71	88	Øipská	4059
P03-202001	1032	983	127531	X67	66	4	4	1	0	60	0	2	0	0	0	0	13	17	8	742	905	82	92	U Olšan	6177
P03-202001	922	885	127540	X67	58	4	4	0	0	51	0	1	0	0	0	0	14	16	17	589	732	80	83	Námìstí Jiøího z Podìbrad	4037
P03-202001	763	729	127558	X67	49	4	3	1	2	48	0	1	0	0	0	0	9	24	17	434	607	72	83	Škroupovo námìstí	4032
P03-202001	928	899	127566	X67	45	3	4	1	1	43	0	2	0	0	0	0	7	20	27	479	660	73	73	Sladkovského námìstí	5591
P03-202001	270	265	127574	X67	11	1	1	1	1	11	0	1	0	0	0	0	2	22	63	41	99	41	37	U Rajské zahrady	50
P03-202001	815	793	127582	X67	38	3	3	2	1	38	0	1	0	0	0	0	6	18	35	368	514	71	65	Kostnické námìstí	4684
P03-202001	36	34	315761	X67	9	0	3	0	0	12	0	0	0	0	0	0	0	15	74	4	9	44	26	U nákladového nádraží	98
