Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P03Q201912	P3-0101	D	41	41	45	1	9	4	0	41	0	7	0	0	0	0	12	21	19	24	33	74	81
P03Q201912	P3-0102	D	169	163	45	5	5	2	0	46	0	2	0	0	0	0	7	16	23	99	125	79	77
P03Q201912	P3-0104	D	41	40	41	6	9	6	1	51	0	3	0	0	1	0	7	21	15	26	34	76	85
P03Q201912	P3-0105	D	147	147	45	7	4	3	4	49	0	1	1	0	0	0	8	10	27	93	108	86	73
P03Q201912	P3-0106	D	37	34	31	12	8	5	0	48	0	3	0	0	0	0	6	16	22	21	27	80	78
P03Q201912	P3-0108	D	50	49	42	9	6	2	0	50	0	3	0	0	0	0	6	11	29	29	35	84	71
P03Q201912	P3-0109	D	59	57	24	6	5	3	12	29	0	4	2	0	1	0	3	31	20	28	46	61	80
P03Q201912	P3-0110	D	27	27	30	2	3	2	3	33	0	4	0	0	0	0	0	21	29	14	19	70	71
P03Q201912	P3-0111	D	36	30	28	7	3	1	5	32	0	2	0	0	0	0	5	16	40	13	18	74	60
P03Q201912	P3-0112	D	52	51	46	5	5	2	0	45	0	4	1	1	0	0	6	23	16	31	43	73	84
P03Q201912	P3-0114	D	45	45	17	2	3	0	0	22	0	0	0	0	0	0	1	11	66	10	15	67	34
P03Q201912	P3-0115	D	19	19	14	9	2	1	4	23	0	2	0	0	0	0	0	11	59	6	8	74	41
P03Q201912	P3-0116	D	21	21	58	5	5	1	3	55	0	4	0	0	0	0	8	26	3	15	20	74	97
P03Q201912	P3-0117	D	73	71	31	10	5	1	0	36	0	3	1	0	0	0	6	18	33	34	47	73	67
P03Q201912	P3-0119	D	9	9	61	0	2	2	0	51	0	2	0	1	0	0	10	27	8	6	8	71	92
P03Q201912	P3-0120	D	17	17	37	4	2	1	3	30	0	3	0	0	0	0	10	17	36	8	11	73	64
