Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	TYPZONY	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P03-202001	P3-0101	D	41	41	1	50	0	12	4	0	47	0	8	0	0	0	0	11	16	18	27	34	81	82
P03-202001	P3-0102	D	169	163	1	50	3	5	2	1	50	0	2	0	0	0	0	7	17	21	102	129	79	79
P03-202001	P3-0104	D	41	40	1	36	6	9	6	0	45	1	4	0	0	1	0	5	15	28	23	29	79	72
P03-202001	P3-0105	D	147	147	2	49	7	4	4	4	49	1	1	1	0	0	0	11	9	23	100	113	89	77
P03-202001	P3-0106	D	37	34	1	35	12	7	5	0	50	0	3	0	0	0	0	6	9	24	23	26	88	76
P03-202001	P3-0108	D	50	49	1	43	7	5	2	0	46	0	4	0	0	0	0	7	8	34	28	32	88	66
P03-202001	P3-0109	D	59	57	2	18	4	3	3	9	21	0	2	1	0	0	0	3	24	40	20	34	60	60
P03-202001	P3-0110	D	27	27	2	30	1	3	3	4	31	0	5	0	0	0	0	0	15	26	16	20	79	74
P03-202001	P3-0111	D	36	30	2	30	7	2	0	6	33	0	1	0	0	0	0	5	12	43	14	17	78	57
P03-202001	P3-0112	D	52	51	1	43	5	9	1	1	45	0	5	1	0	0	0	7	23	15	32	44	73	85
P03-202001	P3-0114	D	45	45	1	32	3	3	1	1	35	0	0	0	0	1	0	2	15	46	18	24	72	54
P03-202001	P3-0115	D	19	19	2	15	6	1	0	8	19	0	2	0	0	0	0	2	7	62	6	7	82	38
P03-202001	P3-0116	D	21	21	2	66	5	3	1	2	60	1	4	1	1	0	0	8	20	3	16	20	80	97
P03-202001	P3-0117	D	73	71	1	41	12	5	1	0	47	0	5	0	0	0	0	7	18	22	42	55	76	78
P03-202001	P3-0119	D	9	9	1	52	0	1	2	0	52	0	1	0	0	0	0	2	13	30	5	6	82	70
P03-202001	P3-0120	D	17	17	2	33	6	1	1	5	26	0	3	0	0	0	0	13	14	40	8	10	78	60
