Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P01Q201912	P1-0101	D	9	9	29	9	5	2	0	34	0	1	0	0	0	0	10	11	44	4	5	81	56
P01Q201912	P1-0103	D	5	5	18	0	0	8	0	18	0	0	0	0	0	8	0	2	72	1	1	92	28
P01Q201912	P1-0104	D	10	10	10	3	16	15	1	16	0	1	2	1	2	13	10	14	41	5	6	77	59
P01Q201912	P1-0105	D	1	1	2	0	55	5	0	55	0	0	0	0	0	5	2	11	27	1	1	85	73
P01Q201912	P1-0106	D	4	4	0	0	7	35	0	1	0	0	0	4	3	34	0	26	34	2	3	62	66
P01Q201912	P1-0108	D	32	32	4	4	1	29	0	4	0	3	0	0	1	29	2	6	56	12	14	87	44
P01Q201912	P1-0110	D	10	9	31	0	0	15	0	10	0	10	1	0	4	11	10	16	37	4	6	74	63
P01Q201912	P1-0111	D	35	31	28	3	1	1	1	24	0	1	0	0	0	0	7	18	49	10	16	65	51
P01Q201912	P1-0112	D	67	63	31	13	6	5	0	26	0	6	7	0	0	1	13	12	34	34	41	82	66
P01Q201912	P1-0113	D	44	39	34	5	7	12	2	33	0	6	1	2	3	3	12	14	25	24	29	81	75
P01Q201912	P1-0116	D	7	7	31	0	11	11	0	30	0	1	0	0	0	0	20	21	26	4	5	72	74
P01Q201912	P1-0117	D	23	21	0	0	3	6	12	6	0	2	0	0	1	0	0	25	55	4	10	45	45
P01Q201912	P1-0119	D	39	37	9	7	7	9	1	15	0	5	5	1	1	1	6	26	41	12	22	56	59
P01Q201912	P1-0122	D	21	21	14	1	16	0	1	18	0	1	2	0	1	0	9	21	48	7	11	60	52
P01Q201912	P1-0123	D	33	33	19	0	15	0	0	24	0	4	0	0	1	0	6	6	59	12	14	84	41
P01Q201912	P1-0124	D	75	61	52	4	8	3	0	37	0	12	5	0	1	1	11	27	4	42	58	71	96
P01Q201912	P1-0126	D	21	18	29	3	12	2	1	18	0	6	2	0	1	8	11	19	28	10	13	73	72
P01Q201912	P1-0130	D	21	16	43	12	5	2	0	28	0	1	0	0	2	3	28	25	13	10	14	71	87
P01Q201912	P1-0133	D	47	40	9	5	3	0	9	9	0	3	1	0	1	2	1	19	55	11	18	59	45
P01Q201912	P1-0137	D	4	4	76	1	3	1	0	39	0	1	0	0	1	0	41	8	11	3	4	91	89
P01Q201912	P1-0138	D	6	6	39	6	3	3	0	30	0	3	0	0	2	0	16	7	41	3	4	88	59
P01Q201912	P1-0139	D	24	20	52	9	3	2	0	43	0	5	2	0	1	0	15	11	22	13	16	85	78
P01Q201912	P1-0143	D	8	8	62	6	1	1	0	44	1	4	3	0	1	0	16	20	12	5	7	78	88
P01Q201912	P1-0145	D	12	10	38	18	8	1	0	39	0	15	1	0	0	0	9	26	9	7	9	72	91
P01Q201912	P1-0147	D	7	5	60	10	4	2	1	53	0	7	1	1	1	0	13	40	0	4	6	66	117
P01Q201912	P1-0148	D	24	22	73	12	13	1	1	80	0	3	1	0	3	0	11	12	0	22	24	89	110
P01Q201912	P1-0149	D	5	5	45	5	10	1	2	51	0	1	0	0	3	0	6	14	23	3	4	82	77
P01Q201912	P1-0150	D	37	31	47	5	8	1	1	38	0	7	2	0	2	0	13	20	18	19	25	75	82
P01Q201912	P1-0156	D	18	16	58	8	11	1	0	51	0	7	3	0	1	0	16	17	5	13	15	83	95
P01Q201912	P1-0157	D	16	16	28	15	34	2	1	55	2	13	1	0	1	0	7	17	4	13	15	82	96
P01Q201912	P1-0158	D	3	3	9	11	22	5	33	36	0	7	1	0	3	0	0	56	0	2	4	59	136
P01Q201912	P1-0159	D	23	23	17	9	20	1	1	33	1	7	4	0	1	0	1	19	31	11	16	72	69
P01Q201912	P1-0160	D	28	28	43	18	10	0	0	49	1	4	2	0	0	0	15	12	17	20	23	86	83
P01Q201912	P1-0162	D	3	3	54	20	6	1	1	44	0	1	1	0	0	1	35	6	13	2	3	93	87
P01Q201912	P1-0163	D	13	13	84	5	3	0	0	66	0	3	0	0	0	0	22	10	0	12	13	90	102
P01Q201912	P1-0164	D	11	9	73	2	8	0	1	65	0	6	0	0	0	0	12	14	1	8	9	86	99
P01Q201912	P1-0165	D	26	24	44	21	8	0	1	49	0	5	1	0	1	0	17	11	15	18	20	87	85
P01Q201912	P1-0167	D	12	10	26	24	5	0	1	44	0	5	1	0	2	0	3	24	20	6	8	70	80
P01Q201912	P1-0168	D	5	5	27	16	15	1	0	28	2	9	5	0	2	0	14	31	10	3	5	66	90
P01Q201912	P1-0169	D	10	8	22	27	13	1	2	48	0	2	5	0	0	0	7	28	8	5	7	69	92
P01Q201912	P1-0170	D	7	7	34	15	19	1	1	52	0	5	1	0	4	0	6	13	18	5	6	84	82
P01Q201912	P1-0171	D	3	2	83	2	19	0	0	15	0	0	0	0	1	0	89	23	0	2	3	82	129
P01Q201912	P1-0172	D	21	21	40	10	5	0	1	36	0	4	1	0	1	0	14	18	26	12	15	76	74
P01Q201912	P1-0174	D	39	27	38	42	9	1	1	60	1	7	1	0	1	0	21	18	0	25	29	84	109
P01Q201912	P1-0179	D	20	18	34	2	11	0	0	17	0	7	16	0	0	0	7	21	32	8	12	69	68
P01Q201912	P1-0181	D	5	5	27	0	21	0	0	5	0	10	18	0	0	0	14	0	46	3	3	100	54
P01Q201912	P1-0182	D	18	18	48	6	3	0	0	35	0	5	3	1	1	0	13	13	29	10	13	82	71
P01Q201912	P1-0183	D	45	38	15	18	6	0	0	25	0	2	1	0	1	0	11	14	39	18	23	77	61
P01Q201912	P1-0186	D	32	20	42	4	20	1	0	48	0	11	3	0	1	0	3	17	17	13	17	80	83
P01Q201912	P1-0191	D	20	18	38	18	17	1	1	49	0	5	8	0	1	1	10	22	4	13	17	77	96
P01Q201912	P1-0192	D	20	20	26	4	11	0	0	14	0	3	22	0	0	0	1	20	44	7	11	64	56
P01Q201912	P1-0193	D	9	9	30	1	17	0	0	26	0	6	15	0	0	0	0	15	41	4	5	75	59
P01Q201912	P1-0194	D	10	10	34	1	12	0	0	35	0	5	0	0	0	0	8	23	29	5	7	67	71
P01Q201912	P1-0195	D	18	18	42	10	5	0	1	33	1	13	2	0	1	0	6	15	28	10	13	79	72
P01Q201912	P1-0196	D	35	34	40	8	9	1	0	39	1	5	3	0	1	0	9	19	23	20	26	76	77
P01Q201912	P1-0199	D	15	15	19	10	3	0	1	23	0	3	2	0	0	0	3	29	39	5	9	53	61
P01Q201912	P1-0200	D	25	25	8	6	4	0	1	12	0	2	1	0	1	0	2	12	69	5	8	61	31
P01Q201912	P1-0201	D	26	14	19	11	5	2	1	19	0	3	7	0	4	0	4	22	41	5	8	63	59
P01Q201912	P1-0202	D	7	6	29	5	8	1	1	22	0	2	2	0	1	3	16	22	31	3	4	69	69
P01Q201912	P1-0203	D	41	41	24	13	7	1	0	17	1	3	10	0	1	1	12	20	29	21	29	71	71
P01Q201912	P1-0206	D	14	5	18	9	14	1	1	31	0	6	1	0	2	2	0	13	44	2	3	77	56
P01Q201912	P1-0207	D	33	16	4	2	3	1	24	5	0	3	0	0	1	0	0	25	42	5	9	57	58
P01Q201912	P1-0208	D	9	9	2	0	3	0	0	4	0	0	0	0	0	0	1	9	85	0	1	35	15
P01Q201912	P1-0211	D	44	44	37	5	17	1	1	31	0	7	6	0	1	0	14	9	31	26	30	87	69
P01Q201912	P1-0212	D	7	7	0	0	2	3	0	0	0	0	0	0	2	2	1	15	80	0	1	25	20
P01Q201912	P1-0213	D	4	4	34	1	37	0	1	41	0	4	9	0	0	0	17	19	9	3	4	79	91
P01Q201912	P1-0215	D	21	19	1	1	3	0	32	2	0	1	0	0	0	0	0	27	36	7	12	58	64
P01Q201912	P1-0217	D	33	27	0	1	2	1	33	1	0	0	0	0	1	0	0	17	46	10	15	68	54
P01Q201912	P1-0218	D	10	10	1	2	3	5	32	2	0	1	0	0	5	0	2	25	33	4	7	63	67
P01Q201912	P1-0219	D	69	69	0	1	2	1	30	1	0	1	1	0	1	0	0	19	47	24	37	65	53
P01Q201912	P1-0220	D	10	10	0	0	1	0	41	0	0	0	0	0	1	0	0	28	30	4	7	60	70
P01Q201912	P1-0223	D	54	54	41	12	9	0	1	34	0	12	2	0	0	0	13	15	23	33	42	80	77
P01Q201912	P1-0224	D	18	18	4	5	5	0	29	7	0	4	1	0	1	0	1	28	29	8	13	60	71
P01Q201912	P1-0228	D	40	39	41	9	10	1	1	31	0	13	3	0	1	0	12	16	21	24	31	79	79
P01Q201912	P1-0230	D	55	53	43	6	8	0	1	29	0	9	4	0	1	0	14	20	17	34	44	76	83
P01Q201912	P1-0231	D	65	63	45	8	8	1	1	34	1	13	5	0	1	0	8	28	10	40	57	70	90
P01Q201912	P1-0233	D	13	13	62	7	6	0	0	46	0	13	2	0	0	0	14	20	6	10	12	79	94
P01Q201912	P1-0234	D	47	47	46	15	8	1	2	35	0	16	5	0	1	0	13	20	8	34	43	78	92
P01Q201912	P1-0235	D	28	28	46	9	4	0	1	37	0	6	3	0	1	1	11	25	15	17	24	71	85
P01Q201912	P1-0236	D	9	9	23	29	4	1	0	35	1	8	4	0	2	0	6	21	19	5	7	74	81
P01Q201912	P1-0240	D	28	25	9	30	15	1	1	24	0	9	13	0	4	3	1	37	9	13	23	59	91
P01Q201912	P1-0241	D	48	48	51	6	11	0	1	27	0	12	16	0	1	0	11	28	1	34	48	72	99
P01Q201912	P1-0242	D	40	38	16	3	2	0	16	5	0	3	5	0	0	7	1	4	19	29	31	95	81
P01Q201912	P1-0243	D	10	10	49	5	5	0	0	15	0	9	21	0	1	1	14	14	23	6	8	81	77
P01Q201912	P1-0244	D	93	89	44	7	10	0	1	31	0	10	11	0	1	0	8	21	17	56	74	75	83
P01Q201912	P1-0246	D	12	12	52	12	9	1	0	24	1	11	29	0	1	0	8	22	7	8	11	76	93
P01Q201912	P1-0249	D	17	15	15	2	4	0	23	8	5	4	1	0	0	0	4	48	3	7	15	51	97
P01Q201912	P1-0250	D	39	31	45	15	8	2	1	43	0	8	5	0	3	1	9	27	2	22	30	72	98
P01Q201912	P1-0252	D	19	17	29	3	1	0	0	13	0	1	3	0	0	0	14	21	47	5	9	60	53
P01Q201912	P1-0253	D	23	23	29	19	8	1	0	39	0	9	3	0	1	0	6	13	29	13	16	81	71
