Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	TYPZONY	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P01-202001	P1-0101	D	9	9	1	26	6	5	4	0	29	0	0	0	0	0	0	12	3	56	4	4	94	44
P01-202001	P1-0103	D	5	5	1	16	0	0	11	0	16	0	0	0	0	0	11	0	4	69	1	2	87	31
P01-202001	P1-0104	D	10	10	1	14	4	0	26	1	3	0	2	2	0	2	22	13	10	46	4	5	82	54
P01-202001	P1-0105	D	1	1	1	0	0	57	0	0	57	0	0	0	0	0	0	0	10	33	1	1	85	67
P01-202001	P1-0106	D	4	4	1	0	0	0	34	0	0	0	0	0	0	0	34	0	33	36	1	3	49	64
P01-202001	P1-0108	D	32	32	1	4	3	1	39	0	5	0	3	0	0	2	36	0	6	48	15	17	89	52
P01-202001	P1-0110	D	10	9	1	29	0	2	11	1	11	0	13	1	1	2	5	7	19	38	4	6	68	62
P01-202001	P1-0111	D	35	31	1	32	2	2	2	0	25	0	2	0	0	1	0	8	13	50	11	16	73	50
P01-202001	P1-0112	D	67	63	1	32	10	5	4	0	24	0	7	6	1	0	0	13	10	38	32	39	83	62
P01-202001	P1-0113	D	44	39	1	37	7	7	12	1	42	0	6	1	0	1	4	9	8	29	24	28	88	71
P01-202001	P1-0116	D	7	7	1	30	0	13	12	4	25	0	9	0	0	1	0	19	15	27	4	5	80	73
P01-202001	P1-0117	D	23	21	2	0	0	3	3	8	4	0	1	0	0	0	0	0	21	66	3	7	39	34
P01-202001	P1-0119	D	39	37	1	14	6	8	7	1	15	0	9	3	0	1	0	6	20	44	13	21	65	56
P01-202001	P1-0122	D	21	21	1	20	0	14	0	0	24	0	0	0	0	1	0	8	17	49	7	11	67	51
P01-202001	P1-0123	D	33	33	1	21	0	15	0	0	26	0	5	0	0	0	0	5	4	59	12	13	91	41
P01-202001	P1-0124	D	75	61	1	52	3	9	4	0	38	0	11	5	0	1	2	12	24	7	42	57	74	93
P01-202001	P1-0126	D	21	18	1	40	5	12	4	1	27	0	4	5	0	1	9	16	22	18	11	15	73	82
P01-202001	P1-0130	D	21	16	1	67	9	6	3	1	34	0	5	1	0	1	5	38	29	0	13	18	74	113
P01-202001	P1-0133	D	47	40	2	11	4	4	0	10	13	0	2	1	0	0	3	0	15	53	13	19	68	47
P01-202001	P1-0137	D	4	4	1	54	3	5	3	0	17	3	9	2	0	2	0	33	11	25	3	3	85	75
P01-202001	P1-0138	D	6	6	1	43	0	0	0	2	21	0	3	0	0	0	0	19	0	54	3	3	100	46
P01-202001	P1-0139	D	24	20	1	55	7	6	3	0	41	1	8	2	0	3	0	16	14	15	14	17	83	85
P01-202001	P1-0143	D	8	8	1	73	2	6	0	1	50	1	12	1	0	2	0	15	19	0	7	8	81	101
P01-202001	P1-0145	D	12	10	1	47	23	3	2	0	46	0	16	0	0	1	0	13	28	0	8	11	73	106
P01-202001	P1-0147	D	7	5	1	63	2	11	0	1	40	0	3	0	0	1	0	32	36	0	4	6	69	114
P01-202001	P1-0148	D	24	22	1	85	11	7	2	1	86	0	3	0	0	3	2	11	9	0	23	25	92	114
