Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	TYPZONY	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P07-202001	P7-0001	D	55	52	1	64	12	6	2	0	70	0	2	0	0	0	0	11	10	5	44	49	89	95
P07-202001	P7-0002	D	26	26	2	26	20	7	1	14	50	0	0	0	3	0	0	1	14	18	18	21	83	82
P07-202001	P7-0003	D	110	107	1	60	8	7	1	0	62	1	3	1	1	0	0	10	12	11	82	96	86	89
P07-202001	P7-0004	D	58	58	1	67	9	7	1	0	67	0	1	0	0	0	0	16	10	7	48	54	90	93
P07-202001	P7-0005	D	46	44	2	14	18	2	1	5	33	0	2	0	0	0	0	1	0	42	25	25	100	58
P07-202001	P7-0006	D	27	26	1	54	13	9	3	1	55	0	3	0	0	0	0	21	9	8	21	24	90	92
P07-202001	P7-0007	D	29	28	2	25	11	7	8	9	43	0	1	0	0	2	0	5	20	19	17	23	75	81
P07-202001	P7-0008	D	62	61	1	61	9	9	1	0	69	0	1	0	0	0	0	9	6	14	49	53	93	86
P07-202001	P7-0009	D	45	42	1	41	3	3	1	0	31	0	1	0	0	1	0	15	5	48	20	22	90	52
P07-202001	P7-0010	D	4	4	1	27	1	4	0	0	30	0	0	0	0	0	0	2	7	62	1	2	82	38
P07-202001	P7-0011	D	4	4	1	54	0	5	0	0	58	0	0	0	0	0	0	0	26	16	2	3	69	84
P07-202001	P7-0012	D	35	32	1	71	5	8	5	1	72	0	2	0	0	0	0	15	15	0	29	34	86	105
P07-202001	P7-0013	D	125	118	1	66	12	10	1	0	59	0	3	0	1	1	0	25	15	0	106	123	86	104
P07-202001	P7-0014	D	20	20	1	51	8	9	1	1	61	0	4	0	0	1	0	4	18	6	15	19	81	94
P07-202001	P7-0015	D	85	84	1	74	12	3	2	0	71	0	5	0	0	0	0	14	16	0	76	90	85	107
P07-202001	P7-0016	D	3	3	3	10	5	1	9	16	23	0	3	0	0	0	0	0	22	36	1	2	65	64
P07-202001	P7-0017	D	10	10	2	12	14	6	2	7	24	0	3	1	0	0	0	5	16	43	4	6	71	57
P07-202001	P7-0018	D	93	92	1	72	9	4	0	0	61	0	2	0	0	1	0	19	8	7	78	86	91	93
P07-202001	P7-0019	D	9	9	2	36	3	0	0	5	33	0	2	0	0	0	0	5	14	42	4	5	76	58
P07-202001	P7-0020	D	35	35	2	46	13	2	0	8	47	0	2	0	0	0	0	12	15	15	24	30	82	85
P07-202001	P7-0021	D	43	41	1	62	14	9	3	0	67	0	4	0	0	0	0	16	10	2	36	40	90	98
P07-202001	P7-0022	D	75	75	1	71	9	7	1	0	69	1	1	0	1	1	0	17	10	1	67	74	90	99
P07-202001	P7-0023	D	72	71	1	66	3	7	2	0	59	0	3	0	0	1	0	16	7	14	56	61	91	86
P07-202001	P7-0024	D	140	134	1	38	12	6	0	0	45	1	0	0	0	1	0	9	7	35	78	87	90	65
P07-202001	P7-0025	D	41	41	1	44	6	13	0	0	53	0	3	0	0	0	0	7	6	32	26	28	92	68
P07-202001	P7-0026	D	41	40	1	28	39	5	0	0	60	0	2	0	1	1	0	8	7	22	29	31	92	78
P07-202001	P7-0027	D	50	48	1	67	13	6	0	0	58	0	0	0	0	2	0	25	9	6	41	45	91	94
P07-202001	P7-0028	D	16	16	1	26	10	1	0	0	31	1	0	0	0	0	0	5	14	50	6	8	73	50
P07-202001	P7-0029	D	22	18	2	49	8	15	0	6	56	0	0	0	0	3	0	13	33	0	14	20	70	111
P07-202001	P7-0030	D	20	19	2	48	7	8	0	6	47	0	2	0	0	1	0	13	14	16	13	16	84	84
P07-202001	P7-0031	D	15	15	1	36	9	10	1	0	47	0	0	0	0	0	0	8	17	20	10	12	79	80
P07-202001	P7-0032	D	13	12	1	16	25	13	2	0	49	0	1	0	0	1	3	1	23	22	7	9	71	78
P07-202001	P7-0033	D				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	100	Infinity
P07-202001	P7-0034	D	88	86	1	42	16	8	3	1	50	0	5	0	0	0	1	13	11	19	61	70	87	81
P07-202001	P7-0035	D	234	229	1	47	17	6	2	1	56	0	1	0	0	0	0	15	6	22	166	179	93	78
P07-202001	P7-0036	D	176	170	1	66	11	8	1	0	62	0	5	0	0	0	0	18	11	3	146	165	89	97
P07-202001	P7-0037	D	48	44	1	80	10	8	2	1	57	0	5	1	0	0	0	36	12	0	45	50	89	114
