Season	CELKEM_PS	PS_ZPS	KOD_ZSJ	DYWIN	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs	NAZ_ZSJ	Obyv_total
P07-202001	7	7	130117	D	17	10	3	0	0	24	1	0	0	0	0	1	4	4	66	2	2	87	34	Nádraží Bubny	58
P07-202001	1511	1443	130125	D	59	13	7	0	1	58	1	2	0	0	1	0	18	8	11	1166	1286	91	89	Bubny	8577
P07-202001	937	897	130133	D	58	13	6	1	2	58	0	2	0	0	1	0	16	12	8	719	824	87	92	Veletržní palác	4824
P07-202001	1083	1054	130141	D	58	10	7	2	1	60	0	2	0	0	0	0	13	11	10	832	945	88	90	U Sparty	6409
P07-202001	119	119	130168	D	40	12	5	0	4	47	1	3	0	1	0	0	6	9	29	73	84	87	71	Královská obora	29
P07-202001	133	133	130176	D	0	0	0	2	5	1	0	0	0	0	0	0	0	5	88	10	16	58	12	Císaøský ostrov II	14
P07-202001	30	30	130231	D	3	0	0	0	0	3	0	0	0	0	0	0	0	7	90	1	3	36	10	Holešovice-elektrárna	7
P07-202001	308	281	130249	D	10	1	8	2	5	16	0	0	0	0	1	0	2	13	62	72	108	67	38	Staré Holešovice	607
P07-202001	949	930	130257	D	42	5	5	1	2	43	0	1	0	0	0	0	8	9	35	515	601	86	65	Ortenovo námìstí	4572
P07-202001	1346	1307	130265	D	55	8	7	1	2	54	0	3	0	0	0	0	13	11	16	954	1103	86	84	Dìlnická	5274
P07-202001	719	703	130273	D	51	7	5	2	1	51	0	2	1	0	1	0	10	10	24	465	538	86	76	Na Maninách	5390
P07-202001	841	821	130281	D	25	5	4	2	8	25	0	3	1	0	1	0	6	15	41	361	484	75	59	Holešovický pøístav	726
P07-202001	229	226	130290	D	13	9	2	1	8	21	0	1	0	0	1	0	2	10	56	76	99	77	44	Bubenské nábøeží	88
P07-202001	43	41	130303	D	0	0	2	0	3	2	0	0	0	0	0	0	0	3	92	2	3	58	8	Štvanice	4
P07-202001	1147	1106	130311	D	51	14	7	2	3	55	0	3	0	0	0	0	15	11	11	860	982	88	89	Nad letenským tunelem	5475
P07-202001	159	155	130320	D	40	23	8	1	8	57	0	2	1	0	1	0	10	12	9	123	141	87	91	Letenské sady	0
P07-202001	19	17	305961	D	0	0	1	5	12	6	0	0	0	0	0	0	0	3	79	3	4	84	21	Letná	167
P07-202001	0	0		D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	100	Infinity		
P07-202001	7	7	130117	N	28	10	2	0	0	33	0	1	0	0	0	0	7	12	47	3	4	77	53	Nádraží Bubny	58
P07-202001	1440	1374	130125	N	66	16	7	0	0	67	1	1	0	0	0	0	19	6	5	1224	1301	94	95	Bubny	8577
P07-202001	878	843	130133	N	65	16	6	0	0	68	0	1	0	0	1	0	16	8	5	738	802	92	95	Veletržní palác	4824
P07-202001	1083	1054	130141	N	67	14	7	1	0	72	0	2	0	0	1	0	14	8	1	956	1038	92	99	U Sparty	6409
P07-202001	103	103	130168	N	52	16	6	0	0	63	1	2	0	1	0	0	7	6	20	77	83	93	80	Královská obora	29
P07-202001	133	133	130176	N	0	0	0	1	0	0	0	0	0	0	0	0	0	0	99	1	2	61	1	Císaøský ostrov II	14
P07-202001	30	30	130231	N	7	0	0	0	0	7	0	0	0	0	0	0	0	5	89	2	3	59	11	Holešovice-elektrárna	7
P07-202001	268	243	130249	N	12	1	6	2	2	17	0	0	0	1	1	0	2	10	67	56	80	69	33	Staré Holešovice	607
P07-202001	933	914	130257	N	49	5	5	1	0	49	0	1	0	0	1	0	9	7	32	552	620	89	68	Ortenovo námìstí	4572
P07-202001	1346	1307	130265	N	59	8	5	1	0	58	0	2	0	0	0	0	13	7	19	971	1064	91	81	Dìlnická	5274
P07-202001	719	703	130273	N	58	7	4	1	0	56	0	2	0	0	1	0	10	7	24	490	536	91	76	Na Maninách	5390
P07-202001	737	725	130281	N	27	6	3	1	2	28	1	2	0	0	0	0	6	7	54	278	331	84	46	Holešovický pøístav	726
P07-202001	164	164	130290	N	16	14	2	1	2	28	0	1	0	0	1	0	4	4	60	58	66	89	40	Bubenské nábøeží	88
P07-202001	43	41	130303	N	0	0	0	0	1	0	0	0	0	0	0	0	0	2	97	1	1	38	3	Štvanice	4
P07-202001	956	923	130311	N	61	18	7	2	0	67	0	2	0	0	1	0	17	6	6	809	865	94	94	Nad letenským tunelem	5475
P07-202001	159	155	130320	N	45	33	9	1	1	72	0	2	0	1	0	0	12	9	3	136	150	91	97	Letenské sady	0
P07-202001	19	17	305961	N	0	0	0	5	0	2	0	0	0	0	0	3	0	0	95	1	1	100	5	Letná	167
P07-202001	7	7	130117	X	0	4	0	0	0	4	0	0	0	0	0	0	0	4	92	0	1	51	8	Nádraží Bubny	58
P07-202001	68	62	130125	X	3	0	1	0	1	4	0	0	0	0	0	0	0	1	94	3	4	82	6	Bubny	8577
P07-202001	15	15	130133	X	6	1	2	0	0	8	0	0	0	0	0	0	1	1	89	1	2	89	11	Veletržní palác	4824
P07-202001	55	52	130141	X	43	9	6	0	0	38	0	2	0	0	2	0	15	5	38	30	32	93	62	U Sparty	6409
P07-202001	18	18	130249	X															100		0		0	Staré Holešovice	607
P07-202001	297	291	130273	X	7	1	1	0	0	8	0	0	0	0	0	0	1	1	90	27	31	89	10	Na Maninách	5390
P07-202001	172	172	130290	X	6	2	1	0	1	9	0	0	0	0	0	0	1	4	84	20	27	72	16	Bubenské nábøeží	88
P07-202001	18	16	130311	X															100		0		0	Nad letenským tunelem	5475
P07-202001	71	69	130125	X15	15	9	2	0	9	22	0	0	0	0	0	0	2	33	34	23	46	51	66	Bubny	8577
P07-202001	59	54	130133	X15	10	13	2	0	15	23	0	0	0	0	0	0	1	50	10	22	49	45	90	Veletržní palác	4824
P07-202001	16	16	130168	X15	0	2	2	0	2	3	0	0	0	0	0	0	1	93	2	1	16	6	98	Královská obora	29
P07-202001	40	38	130249	X15	0	0	0	0	1	0	0	0	0	0	0	0	0	16	82	0	7	7	18	Staré Holešovice	607
P07-202001	16	16	130257	X15	18	0	1	1	14	20	0	0	0	0	0	0	0	45	21	6	13	43	79	Ortenovo námìstí	4572
P07-202001	104	96	130281	X15	6	1	1	0	14	7	0	0	0	0	0	0	1	55	22	21	75	29	78	Holešovický pøístav	726
P07-202001	65	62	130290	X15	0	3	0	0	6	3	0	0	0	0	0	0	1	22	68	6	20	31	32	Bubenské nábøeží	88
P07-202001	191	183	130311	X15	11	6	1	0	11	16	0	2	0	0	0	0	1	49	22	53	143	37	78	Nad letenským tunelem	5475
P07-202001	0	0		X15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	13	Infinity		
P07-202001	71	69	130125	X67	9	3	1	0	5	11	1	0	0	0	0	0	1	50	32	12	47	26	68	Bubny	8577
P07-202001	59	54	130133	X67	6	4	1	0	8	9	0	0	0	0	0	0	1	78	3	10	52	20	97	Veletržní palác	4824
P07-202001	16	16	130168	X67	0	4	1	0	5	5	0	0	0	0	0	0	0	71	20	2	13	12	80	Královská obora	29
P07-202001	40	38	130249	X67	0	0	1	0	1	1	0	0	0	0	0	0	0	17	81	1	7	9	19	Staré Holešovice	607
P07-202001	16	16	130257	X67	14	2	0	0	17	16	0	0	0	0	0	0	0	60	7	5	15	35	93	Ortenovo námìstí	4572
P07-202001	104	96	130281	X67	8	1	1	0	13	9	0	0	0	0	0	0	1	69	8	22	88	25	92	Holešovický pøístav	726
