Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P04Q201912	P4-0101	D	60	58	14	6	1	2	4	21	0	0	0	0	0	0	1	22	50	16	29	55	50
P04Q201912	P4-0102	D	3	3	0	0	4	0	1	4	0	0	0	0	0	0	0	0	20	2	2	100	80
P04Q201912	P4-0103	D	9	9	19	0	5	12	4	28	0	1	0	0	1	0	5	44	17	3	7	47	83
P04Q201912	P4-0104	D	16	16	0	0	9	13	20	15	0	2	0	0	0	0	5	22	36	7	10	66	64
P04Q201912	P4-0105	D	11	7	66	0	0	0	9	46	0	4	0	0	0	0	17	26	0	5	7	74	101
P04Q201912	P4-0106	D	47	47	0	1	4	4	7	8	0	1	0	0	0	0	0	26	57	8	20	39	43
P04Q201912	P4-0108	D	7	7	24	0	0	16	0	30	0	3	0	0	0	0	7	9	52	3	3	81	48
P04Q201912	P4-0110	D	8	8	10	11	3	4	0	14	0	4	0	3	1	0	6	19	54	2	4	59	46
P04Q201912	P4-0111	D	7	7	2	0	2	2	0	4	0	0	0	0	2	0	0	45	49	0	4	11	51
P04Q201912	P4-0113	D	25	25	7	15	6	9	8	28	0	5	0	0	0	0	4	24	30	11	17	66	70
P04Q201912	P4-0115	D	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	99	0	0	0	1
P04Q201912	P4-0117	D	6	6	7	1	7	0	1	6	1	7	0	0	0	0	0	29	56	1	3	35	44
P04Q201912	P4-0120	D	62	61	2	0	3	2	0	4	0	2	0	0	0	0	1	11	78	7	14	52	22
P04Q201912	P4-0121	D	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	31	69	0	1	0	31
P04Q201912	P4-0122	D	33	27	1	1	4	2	10	4	0	1	0	0	0	0	2	14	62	6	10	62	38
P04Q201912	P4-0123	D	163	162	0	0	2	1	4	3	0	0	0	0	0	0	0	3	89	12	17	71	11
P04Q201912	P4-0125	D			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	14	77	Infinity
P04Q201912	P4-0126	D	47	47	37	7	2	1	0	39	0	0	0	0	0	0	7	12	41	22	28	80	59
P04Q201912	P4-0128	D	15	11	66	14	1	19	0	51	0	4	0	0	0	0	46	12	0	11	12	89	112
P04Q201912	P4-0129	D	13	12	29	8	3	6	0	41	0	1	0	0	0	0	4	15	37	6	8	75	63
P04Q201912	P4-0131	D	16	16	40	0	0	0	2	29	0	7	0	0	0	0	4	16	42	7	9	72	58
P04Q201912	P4-0132	D	38	34	47	5	5	2	0	49	0	4	1	0	0	0	4	17	24	20	26	78	76
P04Q201912	P4-0133	D	10	10	34	1	1	1	0	30	0	0	0	0	0	1	6	20	44	4	6	65	56
P04Q201912	P4-0134	D	25	25	87	1	2	0	0	73	2	1	0	0	0	0	14	15	0	22	26	86	104
P04Q201912	P4-0135	D	29	29	27	5	0	2	8	29	1	1	0	0	0	0	2	15	41	13	17	74	59
P04Q201912	P4-0136	D	8	8	60	3	0	4	0	39	0	3	0	0	0	0	26	26	7	5	7	72	93
P04Q201912	P4-0137	D	20	19	66	2	3	2	9	58	2	3	0	0	0	0	10	15	4	15	18	85	96
P04Q201912	P4-0138	D	26	26	55	2	3	3	6	45	4	3	0	0	0	0	11	15	16	18	22	83	84
P04Q201912	P4-0139	D	6	6	33	3	15	26	0	60	0	3	1	2	5	1	6	11	11	5	5	87	89
P04Q201912	P4-0140	D	34	34	1	2	1	3	11	4	0	0	0	0	0	2	0	29	54	6	16	38	46
P04Q201912	P4-0143	D	60	55	48	7	4	7	11	47	0	5	0	1	1	0	11	17	7	42	51	82	93
P04Q201912	P4-0145	D	41	41	19	7	3	1	7	21	0	4	0	0	0	0	4	13	50	15	21	74	50
P04Q201912	P4-0147	D	42	41	64	5	2	3	6	51	0	2	1	0	1	0	20	18	2	33	40	81	98
P04Q201912	P4-0148	D	17	14	32	0	0	6	2	31	0	0	2	0	0	0	4	17	43	6	8	71	57
P04Q201912	P4-0149	D	26	22	44	1	3	2	3	28	0	2	2	0	1	0	17	14	33	12	15	79	67
P04Q201912	P4-0150	D	82	81	50	6	3	1	6	39	1	6	1	0	0	0	15	17	15	55	69	80	85
P04Q201912	P4-0151	D	25	21	60	2	5	4	1	42	1	3	0	0	1	0	24	23	5	15	20	75	95
P04Q201912	P4-0155	D	42	40	47	1	2	6	0	46	0	2	0	0	0	0	8	8	35	23	26	87	65
P04Q201912	P4-0156	D	16	16	30	1	4	3	2	13	1	5	0	0	0	0	19	4	57	6	7	92	43
P04Q201912	P4-0157	D	6	6	46	4	4	2	2	46	1	1	0	0	0	0	8	13	29	4	4	82	71
P04Q201912	P4-0158	D	4	4	34	13	0	6	0	46	0	5	0	1	0	0	1	15	31	2	3	79	69
P04Q201912	P4-0159	D	14	14	23	4	3	3	2	24	1	3	0	0	0	0	5	1	57	6	6	97	43
P04Q201912	P4-0160	D	49	47	18	3	2	1	2	18	1	3	0	0	0	0	2	5	62	16	18	88	38
P04Q201912	P4-0163	D	3	3	44	0	5	9	5	47	0	8	0	0	0	0	3	89	0	2	4	40	148
P04Q201912	P4-0164	D	18	16	14	2	4	2	18	18	0	2	0	0	0	0	1	28	33	6	11	59	67
P04Q201912	P4-0165	D	27	21	22	1	2	1	1	21	0	2	0	0	0	0	3	9	64	6	8	74	36
P04Q201912	P4-0170	D	19	18	29	1	2	1	1	21	0	1	0	0	0	0	10	0	0	19	19	100	106
P04Q201912	P4-0171	D	72	71	45	2	4	2	3	44	1	3	2	0	1	0	3	18	13	49	62	79	87
P04Q201912	P4-0174	D	8	7	12	1	1	3	3	16	0	1	1	0	0	0	0	0	0	7	7	100	103
P04Q201912	P4-0175	D	8	5	18	5	1	4	2	20	0	1	0	0	1	1	5	0	0	6	6	100	122
P04Q201912	P4-0176	D	32	32	46	4	4	11	4	42	0	5	0	0	3	0	14	26	5	22	31	72	95
P04Q201912	P4-0177	D	6	4	54	1	9	6	9	44	0	3	0	0	2	0	21	38	0	3	5	68	116
P04Q201912	P4-0178	D	31	29	38	6	5	3	8	39	0	3	0	0	1	0	9	25	15	17	25	71	85
P04Q201912	P4-0179	D	63	63	48	5	2	4	0	42	0	4	0	0	0	0	13	7	34	37	42	90	66
P04Q201912	P4-0180	D	57	56	21	5	3	6	5	23	0	4	0	0	0	0	7	38	22	22	44	52	78
P04Q201912	P4-0182	D	65	64	35	4	3	5	7	39	1	3	0	0	1	0	3	25	21	35	51	68	79
P04Q201912	P4-0186	D	18	16	49	7	8	3	10	52	0	3	1	0	0	0	11	28	0	12	17	73	104
P04Q201912	P4-0201	D	10	6	69	18	3	6	10	73	0	9	0	0	0	0	12	23	0	6	8	82	128
P04Q201912	P4-0202	D	12	9	50	5	1	1	7	52	0	2	0	0	0	0	2	25	12	6	8	72	88
P04Q201912	P4-0203	D	66	64	55	2	0	3	2	41	0	2	0	0	0	0	17	16	22	40	50	80	78
P04Q201912	P4-0204	D	61	54	27	3	3	1	0	24	0	1	0	0	0	0	9	15	51	19	27	70	49
P04Q201912	P4-0206	D	2	2	24	19	2	2	0	45	0	0	0	0	0	0	1	16	37	1	1	74	63
P04Q201912	P4-0208	D	19	19	11	13	3	1	9	25	0	1	0	0	0	0	0	25	40	7	11	58	60
P04Q201912	P4-0210	D	71	69	38	8	6	5	11	42	1	3	1	0	0	0	10	28	4	47	66	70	96
P04Q201912	P4-0211	D	22	22	67	1	3	3	11	68	2	0	0	0	2	0	2	39	0	19	27	68	124
