Season	CELKEM_PS	PS_ZPS	KOD_ZSJ	DYWIN	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs	NAZ_ZSJ	Obyv_total
P04-202001	673	654	127591	D	21	4	8	6	4	26	1	6	2	0	1	0	6	19	37	290	413	70	63	Horní Krè	2560
P04-202001	608	591	127604	D	33	2	5	4	1	29	0	3	0	0	0	0	10	14	42	264	344	77	58	Dolní Krè-Ryšánka	2752
P04-202001	1061	1028	127612	D	34	3	6	4	5	33	0	3	1	0	0	0	10	17	31	531	705	75	69	Antala Staška	3784
P04-202001	1340	1299	127621	D	38	3	7	3	4	36	1	2	0	0	0	0	11	13	32	712	882	81	68	Na Zelené lišce	3646
P04-202001	28	28	127639	D	27	4	8	10	0	24	2	11	4	0	0	0	7	30	21	14	22	62	79	Pankrác-prùmyslový obvod	41
P04-202001	1559	1483	127647	D	41	4	5	5	7	39	0	2	0	0	1	0	11	15	24	902	1123	80	76	Michelská	5104
P04-202001	589	574	127698	D	26	1	3	2	1	24	0	2	1	0	0	0	4	12	55	187	256	73	45	Horní Jeremenkova	2216
P04-202001	781	748	127701	D	35	2	6	2	1	33	0	2	0	0	1	0	10	11	41	356	439	81	59	Pankrác I-východ	2033
P04-202001	363	336	127710	D	35	2	4	2	2	31	1	1	0	0	0	0	9	8	47	152	177	86	53	Pankrác I-západ	1622
P04-202001	849	803	127728	D	38	5	10	4	3	39	0	2	1	0	1	0	12	17	22	489	623	78	78	Pankrác II	3984
P04-202001	967	939	127736	D	55	5	6	3	1	51	1	2	0	0	0	0	14	13	17	654	779	84	83	Na Veselí	5223
P04-202001	44	42	127744	D	31	9	7	2	5	40	1	3	1	0	1	0	3	18	29	22	30	75	71	Reitknechtka	8
P04-202001	830	788	127752	D	36	4	6	4	2	34	0	1	0	0	1	0	12	12	33	431	524	82	67	Baarova	3473
P04-202001	1036	1007	127761	D	34	2	4	2	2	31	1	2	1	0	0	0	7	17	39	444	610	73	61	Kaèerov	4639
P04-202001	759	751	127876	D	23	1	2	3	0	20	0	1	0	1	0	0	6	13	59	209	304	69	41	Braník-Na køížku	2919
P04-202001	867	858	127884	D	25	1	2	2	2	24	0	2	1	0	0	0	5	13	55	278	390	71	45	Braník-Nad lomem	2470
P04-202001	727	700	127892	D	29	1	4	3	2	29	0	2	0	0	0	0	6	16	43	284	397	72	57	Dvorce	2749
P04-202001	263	255	127906	D	10	5	11	6	18	23	0	3	0	0	1	1	3	20	29	128	181	71	71	Dìkanka	31
P04-202001	16	15	127914	D	55	1	10	1	2	35	0	5	0	0	0	0	27	15	17	10	13	82	83	Kavèí hory	0
P04-202001	864	845	127922	D	23	2	3	3	2	21	0	3	0	0	0	0	6	13	53	281	394	71	47	Na Kavèích horách	2288
P04-202001	1220	1159	127931	D	41	4	6	5	8	40	0	2	1	0	1	0	11	19	17	734	957	77	83	Na Pankráci	5180
P04-202001	175	170	127949	D	26	13	3	3	2	34	0	2	1	0	0	1	8	14	38	81	105	77	62	U soudu	575
P04-202001	890	853	127957	D	40	9	5	4	4	43	0	3	0	0	0	0	10	17	22	526	669	79	78	U Jezerky	4165
P04-202001	761	729	127965	D	35	4	4	3	2	36	0	2	0	0	1	0	5	22	31	346	507	68	69	Tyršùv vrch	3791
P04-202001	14	14	127973	D	0	2	0	1	3	2	0	0	0	0	0	0	1	19	75	1	4	23	25	Plynárna Michle	170
P04-202001	203	199	128112	D	9	1	3	5	5	8	0	5	4	1	0	0	1	17	60	45	79	58	40	Braník-jih	96
P04-202001	720	685	128121	D	41	4	4	6	2	41	0	2	0	1	0	0	10	25	27	332	500	66	73	Braník-støed	3675
P04-202001	20	20	128139	D	1	2	0	8	11	10	0	0	0	0	0	0	0	16	62	4	8	58	38	Braník-pobøeží	15
P04-202001	358	352	128147	D	3	0	4	5	14	8	0	0	0	0	0	0	2	12	62	90	133	68	38	Veslaøský ostrov-Plavecký stadion	23
P04-202001	1224	1169	128155	D	40	4	4	5	6	37	0	2	1	0	1	0	11	17	26	677	870	78	74	Staré Podolí	4595
P04-202001	530	505	128163	D	41	4	4	3	5	35	1	3	0	0	0	0	12	13	30	289	352	82	70	Pankrácké pøedmostí	2210
P04-202001	680	647	128171	D	24	2	3	2	3	25	0	2	0	0	0	0	4	11	52	239	311	77	48	Fidlovaèka	1968
P04-202001	41	41	128180	D	6	12	6	15	11	29	0	6	0	0	0	0	5	21	29	20	29	70	71	U Fidlovaèky-východ	2
P04-202001	1409	1359	128198	D	40	4	3	4	3	37	0	3	0	0	1	0	8	16	30	734	953	77	70	Nuselský obvod	5276
P04-202001	118	113	315877	D	0	1	4	2	3	5	0	0	0	0	0	0	2	3	29	76	80	95	71	Budìjovické námìstí-západ	200
