Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P06Q201912	P6-0003	D	29	27	55	1	7	6	0	42	1	0	0	0	1	0	23	6	26	18	20	92	74
P06Q201912	P6-0004	D	37	37	44	1	7	2	0	49	0	1	1	1	1	0	3	6	40	20	22	90	60
P06Q201912	P6-0010	D	41	40	26	2	5	7	0	31	1	0	1	0	1	0	5	5	56	16	18	89	44
P06Q201912	P6-0027	D	5	5	29	5	9	5	0	41	0	0	0	0	5	0	2	5	47	2	3	90	53
P06Q201912	P6-0029	D	5	5	0	1	13	10	0	20	0	0	0	0	0	0	4	27	50	1	3	47	50
P06Q201912	P6-0030	D	6	5	13	3	28	4	2	48	0	1	0	0	0	0	0	2	46	3	3	96	54
P06Q201912	P6-0031	D	11	11	14	1	4	7	0	26	0	0	0	0	0	0	0	1	73	3	3	95	27
P06Q201912	P6-0032	D	40	40	7	0	3	2	0	9	0	0	0	0	0	0	2	3	86	5	6	81	14
P06Q201912	P6-0033	D	35	32	28	1	5	5	0	17	0	12	0	0	3	0	7	4	56	13	14	90	44
P06Q201912	P6-0034	D	31	31	17	3	5	4	0	26	0	0	0	0	2	0	1	1	70	9	9	97	30
P06Q201912	P6-0036	D	16	16	10	1	9	2	0	22	0	0	0	0	0	0	0	4	74	4	4	86	26
P06Q201912	P6-0037	D	20	20	12	0	1	1	0	13	0	0	0	0	1	0	0	1	85	3	3	96	15
P06Q201912	P6-0043	D	17	13	20	3	5	3	0	17	0	2	0	0	1	0	11	7	62	4	5	81	38
P06Q201912	P6-0044	D	11	11	11	10	9	5	0	20	0	3	0	0	3	0	8	5	61	4	4	87	39
P06Q201912	P6-0045	D	12	11	21	0	0	3	0	13	0	0	0	0	0	0	10	3	73	3	3	90	27
P06Q201912	P6-0046	D	18	18	6	1	0	0	0	7	0	0	0	0	0	0	0	1	91	1	2	90	9
P06Q201912	P6-0047	D	15	15	5	0	0	0	0	5	0	0	0	0	0	0	0	1	94	1	1	80	6
P06Q201912	P6-0049	D	8	8	16	3	24	3	0	42	0	0	0	0	2	0	2	9	46	4	4	84	54
P06Q201912	P6-0050	D	8	7	21	8	7	4	0	27	0	1	0	0	1	0	11	15	45	3	4	73	55
P06Q201912	P6-0051	D	6	6	39	0	4	4	13	37	0	4	0	0	4	0	2	36	3	4	6	63	97
P06Q201912	P6-0052	D	10	9	33	5	5	4	7	29	0	8	0	0	1	0	7	12	36	5	6	82	64
P06Q201912	P6-0055	D	10	8	31	1	10	9	0	26	0	7	0	0	9	0	10	12	37	4	5	81	63
P06Q201912	P6-0056	D	20	17	40	8	1	11	1	31	0	5	0	0	1	0	23	10	29	10	12	86	71
P06Q201912	P6-0057	D	23	22	45	4	3	3	3	43	0	1	0	0	2	0	8	13	30	13	16	81	70
P06Q201912	P6-0058	D	3	3	32	0	0	11	0	32	0	0	0	0	11	0	0	26	31	1	2	62	69
P06Q201912	P6-0059	D	10	10	52	0	0	0	3	26	5	5	0	0	0	0	16	5	40	5	6	91	60
P06Q201912	P6-0060	D	7	7	27	0	4	0	1	28	0	0	0	0	0	0	4	1	67	2	2	98	33
P06Q201912	P6-0061	D	11	11	5	0	2	1	0	6	0	0	0	0	1	0	1	1	92	1	1	93	8
P06Q201912	P6-0062	D	10	9	47	1	5	4	0	46	4	3	0	0	2	0	2	10	33	5	6	86	67
P06Q201912	P6-0063	D	10	10	19	0	15	3	0	26	0	2	1	0	1	0	8	20	42	4	6	65	58
P06Q201912	P6-0064	D	11	11	18	1	3	9	4	21	1	2	0	0	2	2	3	11	54	4	5	76	46
P06Q201912	P6-0065	D	4	4	3	0	2	12	7	2	0	0	0	0	10	0	4	8	69	1	1	74	31
P06Q201912	P6-0066	D	10	10	35	6	17	6	0	47	0	2	0	0	4	0	9	10	27	6	7	86	73
P06Q201912	P6-0067	D	15	15	43	0	0	6	0	32	0	1	0	0	5	0	11	6	45	7	8	89	55
P06Q201912	P6-0068	D	16	16	43	0	4	4	0	35	0	2	0	0	4	0	10	2	47	8	9	96	53
