Season	CELKEM_PS	PS_ZPS	KOD_ZSJ	DYWIN	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs	NAZ_ZSJ	Obyv_total
P06-202001	1536	1499	129259	D	41	4	6	5	2	41	0	1	0	0	0	0	12	11	32	863	1023	84	68	Kladenská	5134
P06-202001	576	556	129267	D	52	4	4	7	1	47	0	2	0	0	0	0	18	7	24	380	421	90	76	Èervený vrch	3264
P06-202001	1281	1245	129275	D	24	1	4	3	1	24	0	2	0	0	0	0	6	8	58	422	522	81	42	Hanspaulka	7283
P06-202001	777	757	129283	D	28	2	5	2	8	28	0	2	0	0	0	0	7	8	46	346	408	85	54	Staré Dejvice	1776
P06-202001	818	768	129291	D	12	0	3	1	1	13	0	1	0	0	0	0	3	6	76	138	181	76	24	Oøechovka	2523
P06-202001	1329	1303	129305	D	32	1	4	3	1	30	0	2	0	0	0	0	7	9	51	529	645	82	49	Støešovice-jih	4365
P06-202001	11	11	129313	D	0	0	8	11	9	11	0	1	0	0	2	0	4	21	52	3	5	57	48	Strahovské koleje	663
P06-202001	240	227	129321	D	46	5	3	4	2	40	1	4	0	0	1	0	12	11	29	136	160	85	71	Kajetánka	670
P06-202001	400	395	129330	D	41	2	5	4	2	37	0	2	0	0	0	0	14	10	32	229	268	85	68	Na bateriích	1539
P06-202001	340	330	129356	D	19	2	8	5	6	27	1	2	0	0	0	0	5	11	48	134	172	78	52	Starý Veleslavín	925
P06-202001	973	941	129364	D	50	4	5	5	1	48	0	2	0	0	0	0	14	8	26	619	694	89	74	Petøiny I	4345
P06-202001	603	576	129372	D	44	4	7	6	1	44	0	1	0	0	0	0	15	8	31	354	399	89	69	Petøiny II	2851
P06-202001	992	969	129381	D	38	3	4	6	1	36	0	2	0	0	0	0	12	8	40	504	582	87	60	Petøiny III	2956
P06-202001	407	401	129399	D	27	1	3	5	8	29	0	1	0	0	0	0	7	12	43	180	228	79	57	Nový Veleslavín	1116
P06-202001	22	22	129402	D	41	0	3	8	0	36	0	2	0	1	2	0	13	10	38	11	14	84	62	U Nového Veleslavína	107
P06-202001	683	668	129411	D	35	2	5	5	1	36	0	1	0	0	0	0	10	8	44	321	373	86	56	Staré Vokovice	2625
P06-202001	62	60	129437	D	2	0	1	1	0	1	0	2	0	0	0	0	1	1	95	2	3	69	5	Nad Šárkou	0
P06-202001	16	16	129453	D	0	0	0	0	0	0	0	0	0	0	0	0	0	4	96	0	1	0	4	Dolní a Horní Šárka	131
P06-202001	59	57	129496	D	6	7	11	9	1	29	0	1	0	1	0	0	3	15	49	20	29	70	51	Vozovna Podbaba	927
P06-202001	998	950	129500	D	39	4	6	4	3	39	0	2	0	0	1	0	11	8	36	531	605	88	64	U Internationálu	4151
P06-202001	722	687	129518	D	16	7	11	8	14	30	0	3	0	0	0	0	8	12	32	383	467	82	68	Vysoké školy	429
P06-202001	696	653	129526	D	38	4	9	7	6	40	0	3	0	0	1	0	14	10	25	423	489	87	75	Úøednická kolonie	2851
P06-202001	218	210	129534	D	23	9	6	10	3	39	0	2	0	0	0	0	6	9	41	106	125	85	59	Nádraží Dejvice	36
P06-202001	369	354	129542	D	26	3	5	9	8	32	1	4	0	0	1	0	6	10	39	180	215	83	61	U Písecké brány	205
P06-202001	224	221	129551	D	6	1	11	10	8	25	0	0	0	0	0	0	2	9	54	82	101	81	46	Na hradbách	7
P06-202001	119	113	129569	D	17	5	6	4	6	25	0	3	0	0	0	0	4	12	50	43	57	76	50	Strahov	79
P06-202001	1148	1094	129585	D	49	4	5	5	2	46	0	2	0	0	1	0	13	13	22	706	849	83	78	Nový Bøevnov	5314
P06-202001	2166	2122	129593	D	31	2	3	3	1	30	0	3	0	0	0	0	6	9	51	854	1046	82	49	Velký Bøevnov	5728
