Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	TYPZONY	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P06-202001	P6-0003	D	29	27	1	67	0	5	7	0	51	2	0	0	0	0	0	24	6	14	21	23	92	86
P06-202001	P6-0004	D	37	37	1	45	2	5	1	0	49	0	1	0	0	0	0	4	3	43	20	21	95	57
P06-202001	P6-0010	D	41	40	1	27	2	4	4	0	31	0	0	0	0	0	0	5	3	59	15	16	92	41
P06-202001	P6-0026	D	5	5	1	40	0	0	0	0	40	0	0	0	0	0	0	0	0	60	2	2	100	40
P06-202001	P6-0027	D	5	5	1	42	1	17	3	1	58	0	5	0	0	0	0	1	13	23	3	4	83	77
P06-202001	P6-0029	D	5	5	1	0	2	8	8	4	18	0	1	0	0	0	0	0	57	20	1	4	29	80
P06-202001	P6-0030	D	6	5	1	8	9	41	3	0	56	0	0	0	0	0	0	5	5	34	3	3	93	66
P06-202001	P6-0031	D	11	11	1	19	1	3	2	0	19	0	5	0	0	0	0	0	1	74	3	3	94	26
P06-202001	P6-0032	D	40	40	1	4	0	0	1	0	4	0	0	0	0	0	0	1	5	89	2	4	50	11
P06-202001	P6-0033	D	35	32	1	31	1	4	2	0	17	0	12	0	0	2	0	6	4	56	13	14	92	44
P06-202001	P6-0034	D	31	31	1	16	5	4	3	0	26	0	1	0	0	0	0	1	3	69	9	10	92	31
P06-202001	P6-0036	D	16	16	1	8	3	11	3	0	23	0	2	0	0	0	0	0	6	69	4	5	82	31
P06-202001	P6-0037	D	20	20	1	23	10	6	0	0	39	0	0	0	0	0	0	0	4	57	8	9	92	43
P06-202001	P6-0043	D	17	13	1	14	1	1	3	0	9	0	1	0	0	0	0	8	7	75	2	3	72	25
P06-202001	P6-0044	D	11	11	1	4	11	10	9	0	23	0	5	0	0	0	0	6	3	64	4	4	93	36
P06-202001	P6-0045	D	12	11	1	30	1	1	1	0	10	0	0	0	0	0	0	22	2	66	4	4	94	34
P06-202001	P6-0046	D	18	18	1	6	0	0	0	0	6	0	0	0	0	0	0	0	0	94	1	1	96	6
P06-202001	P6-0047	D	15	15	1	6	0	0	1	0	6	0	1	0	0	0	0	0	3	90	1	1	73	10
P06-202001	P6-0049	D	8	8	1	21	0	19	3	0	38	0	0	0	0	0	0	6	10	46	3	4	81	54
P06-202001	P6-0050	D	8	7	1	26	1	2	0	0	17	0	0	0	0	0	0	13	19	51	2	3	61	49
P06-202001	P6-0051	D	6	6	2	43	4	2	3	5	46	0	5	0	0	0	0	0	43	0	3	6	57	100
P06-202001	P6-0052	D	10	9	2	45	7	0	0	9	28	0	10	0	0	0	0	14	7	33	5	6	90	67
P06-202001	P6-0055	D	10	8	1	37	0	11	3	0	29	0	5	0	0	3	0	13	16	34	4	5	76	66
P06-202001	P6-0056	D	19	18	1	40	8	0	18	0	28	0	8	0	0	0	0	30	8	26	12	13	89	74
P06-202001	P6-0057	D	23	22	2	60	3	4	1	4	58	0	0	0	0	0	0	9	14	14	16	19	83	86
P06-202001	P6-0058	D	3	3	1	60	0	0	0	1	51	0	9	0	0	0	0	0	11	29	2	2	85	71
