Season	CELKEM_PS	PS_ZPS	KOD_ZSJ	DYWIN	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs	NAZ_ZSJ	Obyv_total
P09-202001	40	40	131270	D	9	0	1	0	0	7	0	0	0	0	0	0	3	41	49	4	20	20	51	Na Harfì	539
P09-202001	1589	1545	131288	D	39	2	2	0	2	33	0	2	0	0	0	0	8	14	40	706	920	77	60	Staré Vysoèany	5925
P09-202001	145	140	131300	D	8	1	2	1	4	7	0	2	0	1	0	0	2	28	53	26	65	39	47	Libeò-prùmyslový obvod	192
P09-202001	89	88	131318	D	6	3	2	0	1	11	0	0	0	0	0	0	0	29	58	11	37	30	42	Pod Harfou	134
P09-202001	968	913	131334	D	37	2	3	1	3	31	0	3	1	0	0	0	7	23	31	421	630	67	69	U svobodárny	3384
P09-202001	720	689	131342	D	49	4	2	1	1	44	1	1	0	0	0	0	9	16	28	386	497	78	72	Na Balabence	3798
P09-202001	93	92	131351	D	29	2	0	1	1	25	0	3	0	0	2	0	2	29	39	30	56	53	61	Podvinní	738
P09-202001	171	161	317021	D	17	0	2	1	3	18	0	1	0	0	0	0	0	29	48	37	84	44	52	U Harfy	391
P09-202001	40	40	131270	N	3	0	0	0	0	3	0	0	0	0	0	0	0	18	79	1	9	15	21	Na Harfì	539
P09-202001	1589	1545	131288	N	46	2	2	0	0	40	1	2	0	0	0	0	8	12	37	793	979	81	63	Staré Vysoèany	5925
P09-202001	145	140	131300	N	10	1	1	1	7	8	0	2	0	1	0	0	2	17	61	32	55	57	39	Libeò-prùmyslový obvod	192
P09-202001	89	88	131318	N	9	4	1	0	5	14	0	1	0	0	0	0	0	30	51	17	43	39	49	Pod Harfou	134
P09-202001	968	913	131334	N	44	3	2	1	3	38	1	3	1	0	0	0	7	22	25	487	685	71	75	U svobodárny	3384
P09-202001	720	689	131342	N	58	5	2	1	0	54	1	2	0	0	0	0	9	16	18	457	565	81	82	Na Balabence	3798
P09-202001	93	92	131351	N	39	3	1	1	0	35	0	6	0	0	2	0	2	30	26	40	68	60	74	Podvinní	738
P09-202001	171	161	317021	N	22	1	1	1	3	22	0	1	0	0	0	0	1	28	44	44	90	49	56	U Harfy	391
