Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	TYPZONY	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P09-202001	P9-0001	D	147	137	2	39	3	2	1	5	33	0	3	0	0	1	0	7	26	24	69	104	66	76
P09-202001	P9-0002	D	292	284	2	35	2	3	0	2	29	0	4	1	0	0	0	5	20	38	120	176	68	62
P09-202001	P9-0003	D	145	140	2	8	1	2	1	4	7	0	2	0	1	0	0	2	28	53	26	65	39	47
P09-202001	P9-0004	D	30	28	2	22	3	2	0	1	24	0	3	0	0	0	0	0	19	52	8	13	59	48
P09-202001	P9-0005	D	45	43	2	36	5	3	4	3	35	0	2	0	0	0	0	12	38	11	22	38	58	89
P09-202001	P9-0006	D	77	69	2	45	4	3	1	2	43	1	2	0	0	0	0	6	23	22	38	54	71	78
P09-202001	P9-0007	D	102	96	2	28	3	2	2	3	20	0	4	2	0	0	0	8	21	39	39	58	66	61
P09-202001	P9-0008	D	92	85	2	57	0	4	2	1	43	1	5	1	0	0	1	12	22	14	54	73	74	86
P09-202001	P9-0009	D	75	69	2	44	2	2	0	3	34	0	1	0	0	0	0	13	21	27	35	50	70	73
P09-202001	P9-0010	D	54	50	2	27	0	1	0	2	24	0	1	0	0	0	0	5	29	40	15	30	52	60
P09-202001	P9-0011	D	54	52	2	21	2	4	1	9	21	0	2	0	0	1	0	3	27	36	19	33	58	64
P09-202001	P9-0012	D	195	186	2	54	3	2	0	1	44	0	2	0	0	0	0	13	14	27	110	136	81	73
P09-202001	P9-0013	D	57	52	2	56	4	1	2	1	53	0	0	0	0	0	0	9	18	18	33	43	78	82
P09-202001	P9-0014	D	63	62	2	49	3	3	2	1	36	2	1	0	0	0	0	16	15	29	35	44	80	71
P09-202001	P9-0015	D	57	57	2	12	4	0	1	1	14	0	2	0	0	0	0	0	17	64	11	21	52	36
P09-202001	P9-0016	D	32	28	2	41	6	2	0	1	43	0	1	0	0	0	0	4	17	34	14	19	75	66
P09-202001	P9-0017	D	62	60	2	67	2	0	0	1	54	0	0	0	0	0	0	14	21	9	42	55	77	91
P09-202001	P9-0018	D	5	5	2															100		0		0
P09-202001	P9-0019	D	37	36	2	42	3	0	2	0	39	0	4	0	0	4	0	0	21	32	17	24	69	68
P09-202001	P9-0020	D	12	12	2	6	0	0	0	0	6	0	0	0	0	0	0	0	24	70	1	4	19	30
P09-202001	P9-0021	D	168	161	2	54	5	1	1	0	54	1	2	0	0	0	0	4	13	25	99	121	82	75
P09-202001	P9-0022	D	57	54	2	47	7	6	1	1	42	2	2	1	0	0	0	15	24	12	34	47	72	88
P09-202001	P9-0023	D	44	44	2	23	0	1	1	1	17	0	4	0	0	0	0	4	38	36	12	28	41	64
P09-202001	P9-0024	D	89	88	2	6	3	2	0	1	11	0	0	0	0	0	0	0	29	58	11	37	30	42
P09-202001	P9-0025	D	47	43	2	27	1	2	1	3	26	0	2	0	0	0	0	2	29	37	15	27	54	63
P09-202001	P9-0026	D	16	16	2	7	0	0	0	3	8	0	0	0	0	0	0	0	32	58	2	7	25	42
P09-202001	P9-0027	D	57	55	2	4	0	2	1	4	5	0	1	0	0	1	0	0	27	61	7	21	31	39
P09-202001	P9-0028	D	22	22	2	22	4	1	2	0	28	0	0	0	0	0	0	0	19	52	6	11	60	48
P09-202001	P9-0029	D	33	33	2	10	0	1	0	0	7	0	0	0	0	0	0	3	48	41	4	19	19	59
P09-202001	P9-0030	D	7	7	2	3	0	0	0	0	3	0	0	0	0	0	0	0	8	89	0	1	27	11
P09-202001	P9-0031	D	51	47	2	26	0	3	0	2	28	0	1	0	0	0	0	0	30	39	14	29	51	61
P09-202001	P9-0032	D	180	176	2	38	2	2	0	2	30	0	2	0	0	0	0	10	11	45	77	96	80	55
P09-202001	P9-0033	D	63	60	2	49	3	1	0	1	45	1	3	0	0	0	0	3	13	33	33	40	81	67
P09-202001	P9-0034	D	70	70	2	40	2	4	0	1	23	0	4	0	0	0	0	18	15	39	32	42	76	61
P09-202001	P9-0035	D	13	10	2	41	0	2	0	1	38	1	1	0	0	0	0	3	55	1	4	10	44	99
P09-202001	P9-0036	D	3	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	29	70	0	1	3	30
P09-202001	P9-0037	D	11	11	2	0	3	6	0	3	10	0	0	0	0	0	0	0	27	61	1	4	33	39
P09-202001	P9-0038	D	14	14	2	10	0	7	0	7	0	0	17	0	0	0	0	0	25	51	3	7	49	49
P09-202001	P9-0039	D	40	39	2	36	4	1	1	5	33	1	1	0	0	0	0	4	16	38	18	24	74	62
P09-202001	P9-0040	D	26	26	2	22	1	2	0	3	23	2	0	0	0	0	0	0	22	48	8	13	57	52
P09-202001	P9-0041	D	9	9	2	33	22	2	0	0	36	0	10	0	0	6	0	4	5	38	5	6	92	62
P09-202001	P9-0042	D	28	28	2	62	0	3	2	1	62	0	0	0	1	0	0	3	15	17	19	23	82	83
P09-202001	P9-0043	D	37	35	2	37	3	4	1	4	34	1	4	0	1	0	0	4	38	12	17	31	56	88
P09-202001	P9-0044	D	35	35	2	15	9	9	2	10	29	0	2	0	0	1	1	2	29	25	16	26	61	75
P09-202001	P9-0045	D	90	88	2	45	0	1	0	3	39	0	0	0	0	0	0	7	15	36	43	57	77	64
P09-202001	P9-0046	D	57	55	2	40	5	1	1	4	37	1	1	0	0	0	1	7	21	28	28	40	71	72
P09-202001	P9-0047	D	20	15	2	42	1	8	0	3	38	0	8	0	0	0	0	5	25	21	8	12	68	79
P09-202001	P9-0048	D	24	23	2	45	0	2	0	4	35	0	4	0	0	0	0	7	9	40	12	14	85	60
P09-202001	P9-0049	D	20	20	2	7	1	0	0	3	4	0	0	3	0	0	0	1	12	77	2	5	46	23
P09-202001	P9-0050	D	107	106	2	29	0	2	1	1	20	1	6	0	0	0	0	3	16	51	35	52	68	49
P09-202001	P9-0051	D	62	62	2	50	3	3	0	2	43	0	1	0	0	0	0	12	9	33	36	42	87	67
P09-202001	P9-0052	D	73	69	2	50	3	3	1	3	42	1	3	0	0	1	1	10	11	27	42	50	84	73
P09-202001	P9-0053	D	68	68	2	53	1	2	0	1	40	0	6	0	0	0	0	9	6	38	39	42	91	62
P09-202001	P9-0054	D	38	38	2	3	3	1	0	1	3	0	0	0	0	0	1	3	9	83	3	6	46	17
P09-202001	P9-0055	D	82	78	2	42	2	0	0	1	35	0	2	0	0	0	0	8	9	46	35	42	84	54
P09-202001	P9-0056	D	186	181	2	27	1	2	0	0	24	0	2	0	0	0	0	4	8	62	56	69	80	38
P09-202001	P9-0057	D	31	29	2	65	1	1	0	0	38	0	3	0	0	0	0	26	17	16	20	24	80	84
P09-202001	P9-0058	D	47	46	2	50	4	0	0	0	36	0	0	0	0	0	1	17	12	33	25	31	82	67
P09-202001	P9-0059	D	20	20	2	57	0	0	0	0	50	2	1	0	0	0	0	3	22	21	12	16	72	79
P09-202001	P9-0060	D	22	22	2	52	7	0	0	1	45	0	0	0	0	0	0	14	6	35	13	14	90	65
P09-202001	P9-0061	D	56	54	2	63	1	4	0	1	54	1	1	0	0	0	0	12	8	23	37	42	89	77
P09-202001	P9-0062	D	8	7	2	35	0	9	0	0	31	0	4	0	0	0	0	9	7	49	3	4	86	51
P09-202001	P9-0063	D	8	8	2	59	0	0	0	1	51	0	0	0	0	0	0	8	7	33	5	5	90	67
P09-202001	P9-0064	D	41	40	2	38	2	1	1	2	38	1	1	0	1	0	0	2	26	29	18	29	63	71
P09-202001	P9-0065	D	2	2	2	53	0	0	0	3	27	27	0	0	0	0	0	0	10	33	1	1	85	67
P09-202001	P9-0001	N	147	137	2	49	3	2	2	4	42	0	3	0	0	1	0	8	21	20	82	110	74	80
P09-202001	P9-0002	N	292	284	2	43	3	2	1	3	38	0	3	1	0	1	0	6	19	29	147	202	73	71
P09-202001	P9-0003	N	145	140	2	10	1	1	1	7	8	0	2	0	1	0	0	2	17	61	32	55	57	39
P09-202001	P9-0004	N	30	28	2	17	0	1	0	2	16	0	2	0	0	0	0	0	15	64	6	10	58	36
P09-202001	P9-0005	N	45	43	2	44	4	0	2	0	39	0	0	0	0	0	0	11	46	4	22	41	53	96
P09-202001	P9-0006	N	77	69	2	58	4	2	0	0	55	2	1	0	0	0	0	6	21	13	45	60	76	87
P09-202001	P9-0007	N	102	96	2	34	2	1	3	2	25	1	3	3	0	0	0	8	19	39	40	58	69	61
P09-202001	P9-0008	N	92	85	2	66	0	2	2	3	50	1	5	0	1	0	1	12	22	4	63	82	77	96
P09-202001	P9-0009	N	75	69	2	49	3	1	0	5	39	0	1	0	0	0	0	14	24	17	41	57	71	83
P09-202001	P9-0010	N	54	50	2	30	0	1	0	1	25	0	0	0	0	0	0	5	38	30	16	35	46	70
P09-202001	P9-0011	N	54	52	2	28	3	2	1	10	25	0	4	0	0	0	1	4	16	41	22	31	73	59
P09-202001	P9-0012	N	195	186	2	65	3	2	0	0	55	0	1	0	0	0	0	13	11	20	129	150	86	80
P09-202001	P9-0013	N	57	52	2	64	4	1	3	0	61	0	0	0	0	0	0	11	21	6	38	49	78	94
P09-202001	P9-0014	N	63	62	2	59	3	4	2	0	49	2	2	0	0	0	0	16	13	18	43	51	85	82
P09-202001	P9-0015	N	57	57	2	13	7	0	0	0	17	0	2	0	0	0	0	0	15	65	11	20	57	35
P09-202001	P9-0016	N	32	28	2	48	7	2	0	0	53	0	1	0	0	0	0	4	15	27	16	21	80	73
P09-202001	P9-0017	N	62	60	2	83	2	1	0	0	71	0	0	0	0	0	0	15	15	0	52	61	85	102
P09-202001	P9-0018	N	5	5	2															100		0		0
P09-202001	P9-0019	N	37	36	2	53	5	0	1	0	49	0	8	0	0	3	0	0	28	11	22	32	68	89
