Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P08Q201912	P8-0101	D	14	12	9	2	3	9	13	10	0	3	0	0	8	0	1	26	39	4	7	58	61
P08Q201912	P8-0102	D	18	16	38	1	0	7	0	32	0	4	1	0	2	0	7	17	31	8	11	75	69
P08Q201912	P8-0103	D	24	23	24	12	3	14	2	37	0	7	0	0	3	0	5	18	26	13	17	76	74
P08Q201912	P8-0104	D	19	7	4	0	0	7	2	7	0	0	0	0	0	2	2	40	46	1	4	25	54
P08Q201912	P8-0105	D	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	99	0	0	0	1
P08Q201912	P8-0106	D	75	70	39	3	5	14	7	45	0	6	0	0	2	1	6	31	2	47	69	69	98
P08Q201912	P8-0107	D	16	16	20	1	0	4	1	14	0	4	0	0	2	0	5	14	59	4	7	65	41
P08Q201912	P8-0109	D	14	11	40	4	4	19	9	43	0	11	2	0	5	0	5	52	0	8	14	59	128
P08Q201912	P8-0111	D	9	9	13	5	4	18	0	32	0	4	0	0	4	0	0	28	31	4	6	60	69
P08Q201912	P8-0112	D	15	11	14	2	3	19	12	29	0	1	1	0	6	0	1	55	0	5	11	47	104
P08Q201912	P8-0113	D	12	12	6	3	4	19	15	15	0	8	1	1	7	0	1	41	12	6	11	53	88
P08Q201912	P8-0114	D	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	1	1	100	5
P08Q201912	P8-0115	D	14	13	43	3	6	6	2	43	0	4	2	0	1	0	7	17	24	8	10	77	76
P08Q201912	P8-0116	D	29	29	1	0	1	3	10	3	0	1	0	0	1	0	0	13	72	4	8	53	28
P08Q201912	P8-0119	D	10	6	53	5	0	11	1	56	0	8	0	0	3	0	3	14	15	4	5	83	85
P08Q201912	P8-0120	D	19	17	51	2	2	10	1	46	3	6	0	0	1	0	8	16	15	12	14	81	85
P08Q201912	P8-0121	D	106	104	20	6	2	6	21	24	0	5	0	0	1	0	3	23	22	56	81	70	78
P08Q201912	P8-0122	D	12	11	13	4	6	15	13	23	0	4	0	0	1	0	10	27	22	6	9	66	78
P08Q201912	P8-0123	D	21	20	31	1	2	5	16	36	0	0	2	0	1	0	0	29	16	11	17	65	84
P08Q201912	P8-0124	D	26	24	39	5	2	6	17	33	0	4	0	0	3	0	12	16	15	17	20	81	85
P08Q201912	P8-0125	D	14	14	12	7	3	15	16	28	0	3	0	0	2	0	3	22	27	7	10	70	73
P08Q201912	P8-0126	D	37	32	47	2	6	11	11	46	0	5	0	0	5	0	10	21	3	24	31	78	97
P08Q201912	P8-0127	D	20	20	18	6	2	18	10	34	0	4	0	0	3	0	2	26	17	12	17	69	83
P08Q201912	P8-0128	D	6	6	4	3	1	19	8	18	0	5	0	0	2	0	1	42	24	2	5	45	76
P08Q201912	P8-0129	D	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	100	2
