Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	TYPZONY	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P08-202001	P8-0101	D	14	12	2	12	2	7	6	20	15	0	6	0	0	4	0	0	36	19	5	10	56	81
P08-202001	P8-0102	D	18	16	1	46	2	0	5	0	31	0	5	3	0	0	0	14	14	34	8	11	79	66
P08-202001	P8-0103	D	24	23	1	37	8	3	10	2	45	0	7	0	0	2	0	4	17	23	14	18	78	77
P08-202001	P8-0104	D	19	7	3	18	1	0	0	4	18	0	1	0	0	0	0	0	23	46	2	4	57	54
P08-202001	P8-0105	D	12	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	100	1
P08-202001	P8-0106	D	75	70	2	47	3	7	13	6	53	0	6	1	0	1	1	8	25	0	53	71	75	101
P08-202001	P8-0107	D	16	16	1	16	2	0	3	0	10	0	8	1	0	2	0	0	0	57	7	7	100	43
P08-202001	P8-0109	D	14	11	2	34	4	1	17	3	46	0	7	3	0	1	0	0	66	0	6	13	46	122
P08-202001	P8-0111	D	9	9	1	15	2	0	24	0	38	0	2	0	0	0	0	1	44	16	4	8	48	84
P08-202001	P8-0112	D	15	11	2	15	1	2	24	9	35	0	2	0	0	2	0	4	50	0	6	11	51	101
P08-202001	P8-0113	D	12	12	2	14	2	4	16	11	16	0	14	2	0	4	0	0	44	9	6	11	51	91
P08-202001	P8-0114	D	17	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	1	1	100	4
P08-202001	P8-0115	D	14	13	1	50	0	9	9	2	42	0	5	2	0	0	0	19	24	6	9	12	75	94
P08-202001	P8-0116	D	29	29	2	0	0	1	5	14	4	0	1	0	0	1	0	0	14	66	6	10	59	34
P08-202001	P8-0119	D	10	6	1	64	3	4	9	1	68	0	10	0	0	2	0	1	18	1	5	6	82	99
P08-202001	P8-0120	D	19	17	1	52	3	3	13	1	51	3	7	1	0	1	0	8	13	5	14	16	86	95
P08-202001	P8-0121	D	106	104	2	21	5	2	5	23	23	0	5	0	0	0	0	4	25	19	57	84	69	81
P08-202001	P8-0122	D	12	11	2	10	2	10	12	16	21	0	7	0	0	0	0	6	25	21	6	9	69	79
P08-202001	P8-0123	D	21	20	2	29	1	0	6	15	33	0	0	1	0	1	0	0	32	17	10	17	61	83
P08-202001	P8-0124	D	26	24	2	38	3	0	6	20	37	0	1	0	0	1	0	9	15	17	16	20	82	83
P08-202001	P8-0125	D	14	14	2	7	10	1	11	14	20	0	3	1	0	4	0	2	24	33	6	9	65	67
P08-202001	P8-0126	D	37	32	2	58	5	4	11	7	50	0	7	0	0	2	0	17	21	0	27	34	80	107
P08-202001	P8-0127	D	20	20	2	21	3	0	18	13	35	0	4	0	0	1	0	3	26	16	12	17	70	84
P08-202001	P8-0128	D	6	6	2	10	6	1	29	17	40	0	7	0	0	0	0	0	73	0	4	8	46	135
P08-202001	P8-0129	D	18	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	100	3
P08-202001	P8-0130	D	29	29	2	10	1	1	4	3	8	0	4	1	0	0	0	1	0	66	10	10	100	34
P08-202001	P8-0131	D	10	10	2															100		0		0
P08-202001	P8-0132	D	4	4	1	15	0	7	8	0	6	0	15	0	0	6	0	2	41	30	1	3	42	70
