Season	CELKEM_PS	PS_ZPS	KOD_ZSJ	DYWIN	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs	NAZ_ZSJ	Obyv_total
P08-202001	14	14	130362	D	23	4	0	2	0	29	0	0	0	0	0	0	0	29	42	4	8	50	58	U Èimického háje	0
P08-202001	1284	1227	130443	D	47	4	7	3	1	36	0	1	0	0	0	0	22	11	26	764	904	84	74	Za støelnicí	5524
P08-202001	1169	1148	130478	D	26	2	5	3	1	28	0	2	0	0	0	0	6	8	54	433	524	83	46	Horní Kobylisy	2164
P08-202001	1074	1029	130508	D	44	4	4	2	1	37	0	1	0	0	0	0	16	10	33	581	687	85	67	Pod kobyliskou vozovnou	5164
P08-202001	551	518	130516	D	36	4	2	2	0	34	0	0	0	0	0	0	9	11	45	228	285	80	55	Pod Èimickým hájem	2076
P08-202001	47	47	130630	D	28	0	0	3	0	18	0	0	0	1	0	0	12	19	50	15	24	62	50	Kobylisy-u hvìzdárny	390
P08-202001	190	189	130648	D	29	2	2	2	0	27	0	2	0	0	0	0	5	10	56	64	83	78	44	Ïáblice-u høbitova	675
P08-202001	524	515	130656	D	34	1	3	1	0	27	1	1	0	0	0	0	11	10	50	205	256	80	50	Slovanka	2645
P08-202001	359	354	130672	D	43	2	4	2	0	35	0	1	0	0	0	0	15	7	42	181	205	88	58	Nad Mazankou	1844
P08-202001	659	627	130699	D	29	3	8	6	3	34	0	3	0	0	0	0	7	18	33	306	419	73	67	Dolní Kobylisy	2843
P08-202001	250	248	130702	D	32	1	2	3	0	26	0	0	1	0	0	0	9	13	49	95	127	75	51	Nad Rokoskou	2808
P08-202001	7	7	130729	D	0	0	0	3	0	3	0	0	0	0	0	0	0	3	94	0	0	50	6	Na Dláždìnce	459
P08-202001	329	323	130737	D	42	2	4	4	0	37	1	2	0	0	0	0	11	11	36	169	206	82	64	Šutka	1997
P08-202001	9	9	130842	D	0	0	0	0	1	0	0	0	0	0	0	0	0	14	84	0	1	8	16	Ïáblický høbitov	6
P08-202001	586	579	130851	D	43	1	1	2	0	28	1	0	0	0	0	0	17	8	44	277	325	85	56	Støížkov-sever	2649
P08-202001	112	106	130893	D	18	2	2	4	3	22	0	0	0	0	0	0	3	29	42	31	61	50	58	Horní Libeò-Na Báni	3107
P08-202001	965	938	130907	D	43	6	2	5	4	45	0	2	1	0	0	0	7	17	24	561	717	78	76	Stará Libeò	3946
P08-202001	646	617	130915	D	43	3	2	3	2	41	0	3	1	0	0	0	6	20	26	333	459	73	74	Na Palmovce	3554
P08-202001	576	560	130940	D	30	3	2	2	5	26	1	1	0	0	1	0	7	11	47	234	296	79	53	Za Invalidovnou	2234
P08-202001	1340	1292	130958	D	44	3	3	3	6	40	0	4	1	0	1	0	7	15	25	778	967	80	75	Karlín-východ	4501
P08-202001	1518	1411	130966	D	27	4	3	6	8	28	0	5	1	0	1	0	5	23	28	693	1017	68	72	Karlín-západ	4230
P08-202001	14	12	130974	D	12	2	7	6	20	15	0	6	0	0	4	0	0	36	19	5	10	56	81	Autobusové nádraží Florenc	0
P08-202001	98	96	130982	D	17	2	2	13	13	24	0	4	0	0	2	0	3	26	27	45	70	64	73	Rohanský ostrov	260
P08-202001	156	152	130991	D	21	4	2	7	22	24	0	5	0	0	1	0	3	28	16	85	128	67	84	Karlín-sever	0
P08-202001	67	64	131008	D	12	8	3	7	6	17	1	2	1	0	0	0	8	18	46	23	34	67	54	U libeòského zámku	93
P08-202001	3	3	305987	D	0	0	4	0	0	4	0	0	0	0	0	0	0	16	80	0	1	20	20	U Dolních Kobylis	1
P08-202001	647	615	306363	D	53	2	3	2	1	35	0	1	0	0	0	0	23	10	29	376	436	86	71	Nové Ïáblice	3150
P08-202001	917	884	306371	D	53	6	3	3	1	41	0	1	0	0	0	0	22	9	25	583	664	88	75	Ïáblice-východ	4466
P08-202001	773	743	306380	D	45	5	2	2	0	34	0	1	0	0	0	0	18	8	37	408	467	87	63	Pod Ládvím	2529
P08-202001	27	23	316989	D	34	0	2	13	1	26	0	9	0	1	2	0	10	21	29	11	16	70	71	Švábky-západ	0
