Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	TYPZONY	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P05-202001	P5-1101	D	55	55	2	0	0	0	1	30	1	0	0	0	1	0	0	0	9	59	17	23	77	41
P05-202001	P5-1102	D	18	16	1	55	3	5	8	1	61	0	3	0	0	1	0	5	20	9	11	15	78	91
P05-202001	P5-1103	D	26	22	2	18	7	7	9	16	27	0	4	0	1	3	1	4	22	21	12	17	72	79
P05-202001	P5-1104	D	9	9	1	30	7	8	18	3	51	0	1	0	4	3	1	2	31	4	6	9	68	96
P05-202001	P5-1105	D	6	5	1	26	0	2	5	1	28	0	3	0	0	2	0	0	40	25	2	4	47	75
P05-202001	P5-1106	D	7	4	1	27	0	0	1	0	27	0	0	0	0	1	0	0	47	25	1	3	37	75
P05-202001	P5-1114	D	69	66	2	46	9	7	4	5	48	0	6	0	0	1	0	10	17	12	47	58	81	88
P05-202001	P5-1116	D	13	13	2	23	9	7	2	17	37	0	2	0	0	3	0	0	25	15	8	11	70	85
P05-202001	P5-1117	D	11	11	2	7	7	4	2	23	19	0	0	0	0	2	0	0	17	39	5	7	73	61
P05-202001	P5-1118	D	9	7	2	29	4	0	2	12	31	0	3	0	0	1	0	0	51	1	3	7	49	99
P05-202001	P5-1119	D	14	14	2	6	2	4	1	14	7	0	1	0	0	0	0	6	17	54	4	6	62	46
P05-202001	P5-1121	D	20	20	2	10	1	10	7	19	19	1	0	0	0	3	0	5	17	36	9	13	73	64
P05-202001	P5-1123	D	18	14	1	0	0	7	1	0	5	0	0	0	0	0	0	3	6	86	1	2	56	14
P05-202001	P5-1125	D	17	17	2	25	3	7	8	14	30	0	0	0	0	5	0	7	16	27	10	12	78	73
P05-202001	P5-1129	D	21	18	1	62	0	8	0	1	49	0	10	0	0	0	0	11	38	0	13	20	65	110
P05-202001	P5-1131	D	10	10	2	10	2	5	15	33	28	0	0	0	1	0	0	4	11	24	7	8	86	76
P05-202001	P5-1133	D	19	19	2	21	0	2	0	33	19	0	2	0	0	2	0	0	16	29	11	14	78	71
P05-202001	P5-1134	D	8	8	1	11	0	2	13	2	16	0	3	0	0	7	0	0	8	63	2	3	77	37
P05-202001	P5-1135	D	49	47	1	43	2	8	5	1	50	0	7	0	0	1	0	0	12	30	28	33	83	70
P05-202001	P5-1136	D	11	9	2	4	4	15	7	22	26	4	0	0	0	0	0	0	22	26	5	7	70	74
P05-202001	P5-1140	D	48	48	1	22	15	3	2	0	24	0	6	0	1	0	0	13	13	44	21	27	77	56
P05-202001	P5-1142	D	6	6	2	0	0	1	0	14	0	1	0	0	0	0	0	0	1	84	1	1	92	16
P05-202001	P5-1143	D	57	56	2	9	11	2	2	13	21	0	0	0	0	1	0	3	8	53	22	26	82	47
P05-202001	P5-1154	D	37	31	2	11	5	5	3	3	17	0	1	0	0	0	0	6	16	57	8	13	63	43
P05-202001	P5-1156	D	8	3	1	25	13	0	19	0	40	0	2	0	10	2	0	2	50	0	2	3	53	107
P05-202001	P5-1158	D	35	31	2	38	16	13	4	8	50	0	9	0	1	2	1	10	22	0	24	31	78	101
P05-202001	P5-1162	D	37	30	2	30	8	8	7	4	36	0	2	0	0	1	0	14	24	19	17	24	71	81
P05-202001	P5-1164	D	10	8	3	2	15	7	7	22	17	0	1	0	0	0	0	13	53	0	4	9	51	108
P05-202001	P5-1165	D	60	57	2	48	8	3	3	5	46	0	7	1	0	0	0	6	17	17	38	47	80	83
P05-202001	P5-1166	D	22	22	2	52	8	2	5	4	52	0	5	0	0	0	0	9	20	9	16	20	78	91
P05-202001	P5-1167	D	35	35	2	55	7	4	6	9	57	1	2	1	0	1	1	9	18	1	28	35	82	99
P05-202001	P5-1168	D	13	11	1	52	0	12	4	2	58	1	3	0	0	1	0	6	22	7	8	10	76	93
P05-202001	P5-1169	D	23	21	1	69	10	10	2	1	62	1	12	0	0	1	0	15	9	0	19	21	91	101
P05-202001	P5-1170	D	17	15	1	67	10	7	0	1	61	0	7	0	0	0	0	17	6	9	13	14	93	91
P05-202001	P5-1172	D	37	35	1	72	6	4	2	2	56	1	13	0	0	0	0	13	11	1	31	35	89	99
P05-202001	P5-1173	D	22	19	2	60	13	0	1	10	50	0	9	0	0	1	0	14	17	0	16	19	83	102
P05-202001	P5-1175	D	8	8	2	60	3	9	5	17	53	0	7	0	0	5	0	12	16	0	8	9	85	111
P05-202001	P5-1176	D	20	20	2	39	7	1	3	9	44	0	1	0	0	0	0	6	16	24	12	15	79	76
P05-202001	P5-1178	D	22	22	2	45	14	2	4	14	52	0	4	0	0	2	0	7	9	12	17	19	89	88
P05-202001	P5-1179	D	41	39	1	59	18	4	4	0	68	1	10	0	0	2	0	5	12	2	33	38	87	98
P05-202001	P5-1180	D	20	20	2	43	9	5	2	4	50	0	2	0	0	0	0	6	10	21	14	16	88	79
P05-202001	P5-1182	D	21	21	1	69	11	16	6	1	65	7	10	1	1	2	0	16	16	0	21	25	87	118
P05-202001	P5-1183	D	44	44	1	56	13	9	5	0	60	1	10	0	0	1	0	11	11	6	36	41	88	94
P05-202001	P5-1184	D	48	46	2	30	8	9	9	7	35	1	13	1	1	3	0	3	38	0	30	48	63	103
P05-202001	P5-1187	D	23	23	1	18	6	10	11	5	39	0	1	0	2	2	1	1	26	24	11	17	65	76
P05-202001	P5-1201	D	7	7	1	11	3	3	0	0	11	0	3	3	0	0	0	0	3	81	1	1	86	19
P05-202001	P5-1202	D	9	9	2	63	0	0	7	2	50	0	10	8	0	0	0	2	35	0	7	10	68	107
P05-202001	P5-1203	D	21	21	2	62	1	0	3	4	38	0	4	0	0	0	0	24	11	19	15	17	87	81
P05-202001	P5-1205	D	50	50	1	36	3	4	3	0	41	0	1	0	0	0	0	3	24	31	23	35	65	69
P05-202001	P5-1206	D	49	49	1	30	5	2	0	0	32	0	1	0	0	0	0	4	10	53	18	23	79	47
P05-202001	P5-1207	D	9	9	1	42	0	1	6	0	39	0	0	0	0	0	0	10	22	29	4	6	68	71
P05-202001	P5-1208	D	12	11	2	60	1	14	0	1	60	0	0	0	0	0	0	15	16	8	8	10	83	92
