Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P05Q201912	P5-1101	D	55	55	0	0	1	1	18	1	0	0	0	0	1	0	0	5	74	11	14	79	26
P05Q201912	P5-1102	D	18	16	56	1	5	11	1	59	0	2	0	1	4	0	7	20	6	12	15	79	94
P05Q201912	P5-1103	D	26	22	19	3	6	7	19	26	0	2	0	1	1	1	4	23	23	12	17	70	77
P05Q201912	P5-1104	D	9	9	32	9	9	26	2	57	0	3	0	5	7	1	3	23	0	7	9	77	101
P05Q201912	P5-1105	D	6	5	25	2	5	13	2	36	0	3	0	1	4	0	1	36	17	2	4	56	83
P05Q201912	P5-1106	D	7	4	24	1	0	7	3	28	0	0	0	0	5	1	0	54	11	1	4	40	89
P05Q201912	P5-1114	D	69	66	46	6	6	4	5	47	0	5	0	0	1	0	8	12	14	49	57	86	86
P05Q201912	P5-1116	D	13	13	21	8	10	6	19	36	0	4	0	0	3	0	3	21	14	8	11	75	86
P05Q201912	P5-1117	D	11	11	6	7	5	5	22	15	0	3	0	1	2	0	2	21	33	5	7	68	67
P05Q201912	P5-1118	D	9	7	27	6	5	8	19	37	0	2	0	1	5	0	0	50	0	4	8	56	114
P05Q201912	P5-1119	D	14	14	9	7	6	2	13	10	0	4	0	0	1	0	8	18	46	5	8	66	54
P05Q201912	P5-1121	D	20	20	8	3	7	8	27	17	1	1	0	1	4	0	2	19	29	10	14	73	71
P05Q201912	P5-1123	D	18	14	2	3	4	3	0	6	0	0	0	0	0	0	4	6	83	2	2	67	17
P05Q201912	P5-1125	D	17	17	20	2	4	6	11	22	0	0	0	0	4	0	5	22	36	7	11	66	64
P05Q201912	P5-1129	D	21	18	68	0	6	0	1	56	0	9	0	0	0	0	10	21	4	14	17	79	96
P05Q201912	P5-1131	D	10	10	8	1	5	20	34	29	0	0	0	0	1	0	5	17	15	7	9	80	85
P05Q201912	P5-1133	D	19	19	12	1	6	3	35	14	0	0	0	0	7	0	0	16	28	11	14	78	72
P05Q201912	P5-1134	D	8	8	12	2	2	15	1	16	0	2	0	1	11	0	1	18	51	3	4	64	49
P05Q201912	P5-1135	D	49	47	41	1	7	5	1	44	0	9	0	1	1	0	0	18	27	26	35	76	73
P05Q201912	P5-1136	D	11	9	4	6	9	11	37	24	1	4	0	0	0	0	1	32	1	6	9	68	99
P05Q201912	P5-1140	D	48	48	28	13	3	3	1	26	0	6	0	0	1	0	13	17	35	23	31	74	65
P05Q201912	P5-1142	D	6	6	0	0	0	0	4	0	0	0	0	0	0	0	0	2	93	0	0	70	7
P05Q201912	P5-1143	D	57	56	9	11	3	2	18	20	0	0	0	0	1	0	3	11	46	24	30	80	54
P05Q201912	P5-1154	D	37	31	7	3	7	3	2	14	0	2	0	0	1	0	3	13	64	7	11	64	36
P05Q201912	P5-1156	D	8	3	13	11	16	13	4	31	0	6	0	0	7	0	9	41	2	2	3	58	98
P05Q201912	P5-1158	D	35	31	31	11	9	8	7	44	0	7	0	0	2	0	5	18	16	20	26	78	84
P05Q201912	P5-1162	D	37	30	35	8	9	10	3	40	0	5	1	0	4	0	12	32	2	20	29	67	98
P05Q201912	P5-1164	D	10	8	13	15	4	8	14	18	0	2	0	0	6	0	13	44	2	4	8	55	98
P05Q201912	P5-1165	D	60	57	47	7	6	4	5	46	1	7	0	0	2	0	9	20	10	40	51	78	90
P05Q201912	P5-1166	D	22	22	64	6	1	2	4	60	0	4	0	0	1	0	9	19	4	17	21	80	96
P05Q201912	P5-1167	D	35	35	49	8	5	6	11	53	0	5	0	0	1	1	7	23	0	28	36	78	102
P05Q201912	P5-1168	D	13	11	51	1	6	5	1	50	3	1	0	0	3	0	6	24	11	7	10	72	89
P05Q201912	P5-1169	D	23	21	67	9	9	3	1	59	2	8	0	0	1	0	17	13	0	18	21	87	100
P05Q201912	P5-1170	D	17	15	62	5	7	3	1	50	1	14	0	0	0	0	11	11	12	12	13	88	88
P05Q201912	P5-1172	D	37	35	71	8	6	1	1	63	1	9	0	0	1	0	13	14	0	31	36	86	102
P05Q201912	P5-1173	D	22	19	59	10	3	2	10	47	0	12	0	0	2	0	12	16	1	16	19	84	99
P05Q201912	P5-1175	D	8	8	51	10	3	6	10	51	1	10	0	0	7	0	2	17	3	6	8	82	97
P05Q201912	P5-1176	D	20	20	36	6	3	5	11	43	0	2	0	0	2	0	2	13	25	12	15	82	75
P05Q201912	P5-1178	D	22	22	43	11	4	4	15	50	0	3	0	0	2	0	6	14	10	17	20	85	90
P05Q201912	P5-1179	D	41	39	53	17	7	4	1	65	0	7	0	0	3	0	6	14	5	32	37	85	95
P05Q201912	P5-1180	D	20	20	43	10	6	6	2	53	0	1	0	0	1	0	8	10	19	14	16	88	81
P05Q201912	P5-1182	D	21	21	60	15	13	6	1	63	5	11	1	0	3	0	10	21	0	20	24	82	116
P05Q201912	P5-1183	D	44	44	57	13	9	7	1	63	1	13	0	0	1	0	7	9	4	38	42	91	96
P05Q201912	P5-1184	D	48	46	28	9	8	10	10	34	0	14	0	0	3	0	4	39	0	30	48	63	104
P05Q201912	P5-1187	D	23	23	14	5	7	18	3	33	0	1	0	3	5	1	2	4	18	18	19	96	82
P05Q201912	P5-1201	D	7	7	15	2	2	3	0	10	0	5	1	0	0	0	6	3	75	2	2	88	25
P05Q201912	P5-1202	D	9	9	55	2	7	2	4	45	0	12	7	0	0	0	2	49	0	6	11	59	118
