Season	CELKEM_PS	PS_ZPS	KOD_ZSJ	DYWIN	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs	NAZ_ZSJ	Obyv_total
P05-202001	440	437	128643	D	29	1	2	2	1	25	0	1	0	1	0	0	7	9	56	154	194	79	44	Staré Radlice	1296
P05-202001	3	3	128651	D	23	0	0	7	0	23	0	0	0	7	0	0	0	26	44	1	2	53	56	Jinonice-prùmyslový obvod-východ	0
P05-202001	1015	1003	128660	D	27	1	3	2	0	23	0	1	0	1	0	0	7	8	59	330	409	81	41	Jinonická	3632
P05-202001	555	547	128678	D	33	3	3	1	0	28	0	3	0	0	1	0	7	11	48	220	282	78	52	Na Èerném vrchu	1863
P05-202001	864	833	128686	D	26	2	2	1	2	21	0	2	0	0	1	0	7	9	58	279	354	79	42	Malvazinka	2517
P05-202001	485	469	128694	D	41	4	2	2	3	37	0	3	1	0	0	0	9	16	32	248	321	77	68	Smíchov-jižní Radlická	2252
P05-202001	857	843	128767	D	40	2	2	2	0	34	1	1	0	0	0	0	10	11	42	393	486	81	58	Košíøe-støed	4764
P05-202001	492	467	128775	D	43	4	4	5	3	44	0	1	0	0	1	0	9	14	27	274	339	81	73	Kavalírka	2651
P05-202001	465	427	128783	D	40	6	5	2	3	43	0	1	0	1	0	0	8	17	26	240	315	76	74	Vrchlického	2768
P05-202001	614	577	128791	D	39	8	5	2	8	43	1	3	0	0	1	0	6	17	21	359	457	79	79	U malostranského høbitova	3256
P05-202001	77	72	128805	D	14	3	9	8	21	24	0	3	0	0	4	0	2	34	11	39	64	62	89	Smíchov-prùmyslový obvod	156
P05-202001	935	883	128813	D	43	4	5	3	4	42	0	4	0	0	1	0	7	14	28	516	635	81	72	Na Skalce	4212
P05-202001	200	192	128821	D	13	4	5	6	18	22	0	1	0	1	1	0	2	19	35	88	124	71	65	Smíchovské nádraží	271
P05-202001	171	168	128911	D	28	1	1	3	0	23	0	2	0	0	1	0	8	7	60	56	67	83	40	Na hliníku	23
P05-202001	124	121	128937	D	0	0	0	0	6	0	0	0	0	0	0	0	0	8	86	8	17	45	14	Motol-západ	77
P05-202001	289	275	128945	D	29	1	2	4	18	28	0	1	0	0	0	0	8	21	25	149	208	72	75	Motolská nemocnice	608
P05-202001	844	821	128953	D	40	2	1	2	5	31	0	1	0	0	0	0	12	8	42	411	474	87	58	Homolka	3046
P05-202001	36	36	128961	D	1	4	6	1	2	11	0	0	0	0	0	0	0	10	77	5	8	57	23	Pod Kotláøkou	2
P05-202001	41	41	128970	D	11	0	3	0	0	9	0	1	0	0	0	0	5	11	74	6	11	58	26	Kotláøka	877
P05-202001	425	404	129003	D	28	4	2	2	1	28	0	2	0	0	0	0	5	13	50	153	204	75	50	Klamovka	4212
P05-202001	353	344	129011	D	30	6	2	3	0	30	0	3	0	1	0	0	6	12	46	143	185	77	54	Na Høebenkách	2059
P05-202001	70	67	129020	D	23	2	4	2	8	21	0	4	0	0	0	0	6	16	45	26	37	71	55	Zahrada Kinských	6
P05-202001	375	345	129038	D	33	2	5	8	10	34	2	4	0	1	1	0	8	16	22	212	269	79	78	Na Újezdì	1234
P05-202001	369	327	129046	D	36	7	8	7	9	37	0	9	0	0	1	0	10	20	13	220	286	77	87	Pod zahradou Kinských	1237
P05-202001	1290	1159	129054	D	43	7	5	4	7	40	1	8	1	0	1	0	7	15	19	757	934	81	81	Arbesovo námìstí	3867
P05-202001	510	482	129062	D	50	10	6	5	6	51	1	7	0	0	1	0	9	18	6	366	455	81	94	Na bìlidle	2788
P05-202001	100	99	129071	D	11	9	2	3	17	21	0	0	0	0	1	0	2	9	48	42	51	82	52	Smíchovský pivovar	93
P05-202001	244	226	129089	D	37	6	6	4	3	39	0	5	0	0	1	0	6	18	27	125	166	75	73	U železnièního mostu	1227
P05-202001	294	290	129151	D	22	0	1	1	0	16	0	1	0	0	0	0	7	10	66	70	98	71	34	Barrandov	839
P05-202001	10	10	129160	D	0	4	11	10	13	20	0	0	0	2	3	0	0	25	37	4	6	61	63	Barrandov-ateliéry	8
P05-202001	171	168	305871	D	28	5	4	4	8	30	0	7	0	0	1	0	4	17	34	83	111	75	66	Dìtský ostrov	0
P05-202001	6	6	305880	D	19	3	4	12	0	36	0	0	0	1	1	0	0	8	55	2	3	83	45	Na bìlidle-nábøeží	0
P05-202001	0	0		D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	100	Infinity		
P05-202001	23	20	128805	X															100		0		0	Smíchov-prùmyslový obvod	156
P05-202001	46	44	129038	X															100		0		0	Na Újezdì	1234
P05-202001	68	68	129054	X	11	0	0	1	1	9	0	0	1	0	0	0	2	13	74	9	18	50	26	Arbesovo námìstí	3867
P05-202001	429	426	128643	X15	20	0	1	1	1	16	0	0	0	0	0	0	6	29	49	96	219	44	51	Staré Radlice	1296
P05-202001	3	3	128651	X15	67	0	0	0	0	67	0	0	0	0	0	0	0	0	33	2	2	100	67	Jinonice-prùmyslový obvod-východ	0
P05-202001	987	975	128660	X15	22	0	2	1	0	19	0	0	0	0	0	0	6	26	49	245	500	49	51	Jinonická	3632
P05-202001	555	547	128678	X15	23	2	2	0	0	19	0	1	0	0	0	0	6	36	37	147	344	43	63	Na Èerném vrchu	1863
P05-202001	864	833	128686	X15	18	1	1	1	1	17	0	0	0	0	0	0	5	23	54	186	380	49	46	Malvazinka	2517
P05-202001	485	469	128694	X15	23	2	1	2	2	24	0	0	0	0	0	0	5	51	19	144	382	38	81	Smíchov-jižní Radlická	2252
