Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	TYPZONY	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P02-202001	P2-0101	D	28	24	2	20	5	8	1	32	22	0	5	2	1	1	0	2	33	2	16	24	66	98
P02-202001	P2-0104	D	4	4	1	58	2	7	0	2	47	1	13	0	0	0	0	6	31	2	3	4	68	98
P02-202001	P2-0105	D	7	4	1	58	3	6	0	0	43	0	4	0	0	1	0	19	41	0	3	4	62	108
P02-202001	P2-0106	D	6	5	1	41	0	5	0	2	39	0	4	0	0	0	0	2	35	18	2	4	58	82
P02-202001	P2-0107	D	19	18	1	71	2	16	0	1	60	0	9	1	0	1	0	20	19	0	16	20	82	110
P02-202001	P2-0108	D	21	19	1	50	3	11	0	0	52	3	4	0	0	0	0	6	20	4	14	18	79	96
P02-202001	P2-0109	D	56	53	1	23	9	14	1	0	25	2	7	0	1	1	0	11	14	38	25	33	77	62
P02-202001	P2-0110	D				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	84	Infinity
P02-202001	P2-0112	D	27	25	1	43	13	12	1	0	50	0	7	0	0	0	0	10	12	19	17	20	85	81
P02-202001	P2-0113	D	42	42	1	44	7	17	1	1	41	0	12	1	0	1	0	14	18	12	29	37	80	88
P02-202001	P2-0114	D	39	39	2	35	5	4	1	6	27	1	5	2	0	0	0	11	22	26	20	29	70	74
P02-202001	P2-0115	D	35	33	2	22	3	4	2	11	19	0	6	2	0	2	0	3	24	33	14	22	64	67
P02-202001	P2-0117	D	46	46	1	31	5	8	4	0	36	0	4	1	0	0	0	8	11	40	22	28	81	60
P02-202001	P2-0118	D	93	92	1	59	1	4	1	0	38	0	5	1	0	1	0	20	9	26	60	68	88	74
P02-202001	P2-0119	D	75	74	1	62	6	7	1	1	43	0	5	0	0	3	0	25	10	13	57	64	88	87
P02-202001	P2-0121	D	29	28	1	61	6	8	0	1	50	0	4	0	0	2	1	19	15	9	21	25	84	91
P02-202001	P2-0122	D	78	72	1	49	6	10	2	1	44	0	5	0	0	1	0	17	12	16	52	60	86	84
P02-202001	P2-0125	D	37	36	2	49	5	11	0	13	46	0	7	0	0	2	0	10	16	3	29	35	83	97
P02-202001	P2-0127	D	37	34	1	73	0	2	0	0	56	0	4	0	0	2	0	15	16	8	26	31	83	92
P02-202001	P2-0129	D	36	35	1	72	3	7	1	1	63	0	4	0	0	1	0	15	9	7	29	33	90	93
P02-202001	P2-0131	D	19	19	2	40	3	8	1	18	38	0	4	0	0	1	0	9	18	13	13	17	79	87
P02-202001	P2-0132	D	30	29	2	40	5	6	1	19	34	0	7	0	0	1	0	10	28	2	20	28	72	98
P02-202001	P2-0134	D	11	11	1	50	8	8	2	1	42	0	16	0	1	1	0	8	21	10	8	10	76	90
P02-202001	P2-0135	D	110	97	2	4	4	3	1	14	8	0	2	0	0	1	0	1	22	53	25	46	54	47
P02-202001	P2-0137	D	27	24	1	55	5	2	1	0	43	0	1	0	0	2	0	17	5	31	15	17	92	69
P02-202001	P2-0138	D	42	41	1	67	3	2	1	1	52	0	3	1	0	1	0	15	10	17	30	34	88	83
P02-202001	P2-0139	D	17	17	1	49	3	8	2	1	47	0	8	0	1	0	0	6	20	16	11	14	77	84
P02-202001	P2-0141	D	73	72	1	64	3	6	1	0	55	0	2	0	0	1	1	15	11	15	53	61	88	85
P02-202001	P2-0142	D	64	61	2	40	2	4	1	11	31	0	4	0	0	0	0	11	26	15	36	52	69	85
P02-202001	P2-0144	D	51	47	2	21	4	3	0	23	20	0	2	0	0	0	0	5	21	28	24	34	71	72
P02-202001	P2-0145	D	104	103	1	57	4	3	1	0	47	1	3	0	0	2	0	12	7	27	68	75	90	73
P02-202001	P2-0147	D	24	24	2	63	1	1	0	9	39	0	3	0	0	1	0	22	21	5	18	23	78	95
P02-202001	P2-0149	D	44	41	1	69	1	4	1	1	56	0	3	1	0	1	0	15	10	10	33	37	88	90
P02-202001	P2-0150	D	44	43	1	77	2	6	0	1	62	0	3	0	0	1	0	20	11	2	37	42	89	98
P02-202001	P2-0151	D	3	3	1	89	1	24	0	0	69	0	12	0	0	0	0	33	3	0	3	4	97	117
P02-202001	P2-0152	D	67	65	1	63	2	4	0	0	45	0	1	0	0	0	0	22	10	21	45	51	87	79
P02-202001	P2-0153	D	15	13	2	50	3	2	1	10	45	0	5	0	0	0	0	5	25	8	9	12	73	92
P02-202001	P2-0155	D	13	13	1	56	0	2	0	0	30	0	3	0	0	0	0	25	14	29	7	9	81	71
P02-202001	P2-0156	D	12	12	1	56	4	4	0	0	30	0	11	3	0	0	0	22	16	22	7	9	79	78
P02-202001	P2-0157	D	19	19	1	57	1	4	1	0	47	0	1	0	0	0	0	14	35	3	12	18	64	97
P02-202001	P2-0158	D	4	4	2	25	2	1	2	10	26	0	0	1	0	2	0	0	40	20	2	3	50	80
