Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P02Q201912	P2-0101	D	28	24	20	6	9	1	33	23	0	8	2	0	1	0	1	32	0	16	24	68	100
P02Q201912	P2-0104	D	4	4	54	3	4	0	1	33	0	9	0	0	6	0	11	44	0	2	4	58	106
P02Q201912	P2-0105	D	7	4	54	3	8	0	1	41	0	3	1	0	1	0	21	33	2	3	4	66	98
P02Q201912	P2-0106	D	6	5	40	1	6	2	1	40	0	6	0	0	2	0	1	38	12	3	4	57	88
P02Q201912	P2-0107	D	19	18	55	5	22	0	1	57	0	7	1	0	0	0	17	17	0	15	18	83	100
P02Q201912	P2-0108	D	21	19	52	4	19	0	0	56	3	5	0	0	1	0	10	27	0	15	20	74	105
P02Q201912	P2-0109	D	56	53	28	6	13	1	0	28	2	7	0	0	1	1	9	17	34	26	35	73	66
P02Q201912	P2-0110	D			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	79	Infinity
P02Q201912	P2-0112	D	27	25	44	10	14	1	0	49	0	7	1	0	1	0	10	13	9	20	23	86	91
P02Q201912	P2-0113	D	42	42	48	9	12	2	1	44	0	11	1	0	0	0	14	24	4	30	40	75	96
P02Q201912	P2-0114	D	39	39	33	6	4	1	8	30	0	6	1	0	0	0	6	27	22	20	30	66	78
P02Q201912	P2-0115	D	35	33	22	3	7	2	14	21	0	5	1	0	0	0	5	27	25	16	25	64	75
P02Q201912	P2-0117	D	46	46	30	8	8	4	0	35	0	5	1	0	0	0	8	14	37	23	29	78	63
P02Q201912	P2-0118	D	93	92	56	2	4	1	0	38	0	4	1	0	1	0	18	10	25	60	69	87	75
P02Q201912	P2-0119	D	75	74	61	8	6	2	1	45	0	6	0	0	2	0	23	13	10	57	66	86	90
P02Q201912	P2-0121	D	29	28	55	8	12	1	0	48	0	7	0	0	2	1	18	15	8	21	26	83	92
P02Q201912	P2-0122	D	78	72	45	8	11	1	1	44	0	4	0	0	1	0	17	14	15	51	61	84	85
P02Q201912	P2-0125	D	37	36	54	6	11	1	13	47	0	7	0	0	3	0	13	15	0	31	36	85	101
P02Q201912	P2-0127	D	37	34	61	2	3	0	0	49	0	5	0	0	2	0	11	18	11	24	30	80	89
P02Q201912	P2-0129	D	36	36	68	3	6	1	0	57	0	4	0	0	1	0	16	13	8	28	33	86	92
P02Q201912	P2-0131	D	19	19	43	7	7	2	16	34	0	7	0	0	1	0	15	19	6	14	18	80	94
P02Q201912	P2-0132	D	30	29	38	7	7	1	19	36	2	7	0	0	1	0	6	31	0	21	30	70	103
P02Q201912	P2-0134	D	11	11	48	7	10	1	2	46	1	9	0	0	1	0	8	21	10	8	10	76	90
P02Q201912	P2-0135	D	110	97	5	4	5	1	16	12	0	2	0	0	1	0	1	25	43	31	55	56	57
P02Q201912	P2-0137	D	27	24	64	7	2	2	0	52	0	3	0	0	1	0	19	9	16	18	20	89	84
P02Q201912	P2-0138	D	42	41	63	3	4	1	1	52	0	3	1	0	1	0	14	13	15	29	35	84	85
P02Q201912	P2-0139	D	17	17	52	3	9	3	1	50	0	8	0	0	2	0	8	21	10	12	15	77	90
P02Q201912	P2-0141	D	73	72	60	3	6	1	0	50	0	3	1	0	1	0	15	13	17	50	60	84	83
P02Q201912	P2-0142	D	64	61	41	4	4	1	14	36	1	4	0	0	1	0	9	30	6	39	58	68	94
P02Q201912	P2-0144	D	51	47	22	5	5	1	25	25	0	2	1	0	1	0	5	20	23	27	36	74	77
P02Q201912	P2-0145	D	104	103	50	4	2	0	0	43	0	2	0	0	1	0	10	10	34	58	68	85	66
P02Q201912	P2-0147	D	24	24	54	2	4	1	7	32	0	3	0	0	4	0	20	25	8	16	22	73	92
P02Q201912	P2-0149	D	44	41	60	1	6	2	0	46	0	2	1	0	1	0	18	15	12	30	36	83	88
