Season	CELKEM_PS	PS_ZPS	KOD_ZSJ	DYWIN	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs	NAZ_ZSJ	Obyv_total
P02-202001	821	756	127167	D	50	7	5	0	5	41	0	6	1	0	1	1	13	16	16	511	635	80	84	Námìstí Míru	3212
P02-202001	990	928	127175	D	56	10	6	1	2	51	0	5	1	0	1	0	14	17	8	697	851	82	92	Londýnská	6180
P02-202001	1148	1022	127183	D	9	2	4	0	18	11	0	1	0	0	1	0	2	17	49	344	516	67	51	Albertov	646
P02-202001	599	522	127191	D	48	6	7	1	4	41	0	5	0	0	1	0	14	17	16	348	436	80	84	Štìpánský obvod-západ	3304
P02-202001	386	362	127205	D	54	9	7	0	2	48	0	5	1	0	1	0	15	19	8	266	333	80	92	Nad muzeem	2501
P02-202001	86	81	127213	D	15	2	4	0	9	8	0	8	1	0	0	0	4	8	54	31	37	83	46	Hlavní nádraží	0
P02-202001	823	795	127221	D	51	4	5	0	2	42	0	6	0	0	1	1	11	12	24	506	602	84	76	Na Smetance	2580
P02-202001	279	270	127230	D	27	4	7	2	10	32	0	2	0	0	0	0	5	16	35	132	175	75	65	Riegrovy sady	0
P02-202001	719	707	127248	D	56	6	8	3	1	53	0	5	0	0	1	0	14	12	14	525	611	86	86	U Riegrových sadù	4509
P02-202001	1325	1290	127256	D	55	6	6	2	3	51	0	3	0	0	0	0	13	11	17	931	1068	87	83	U Èechových sadù	4971
P02-202001	54	54	127264	D	53	5	7	2	0	51	1	2	0	1	2	1	10	10	23	36	42	87	77	Havlíèkovy sady	14
P02-202001	1088	1035	127272	D	52	7	4	1	1	49	0	3	1	0	0	0	11	15	20	678	831	82	80	Na Kleovce	4633
P02-202001	350	342	127281	D	62	3	5	0	0	51	1	2	0	0	1	0	15	9	21	239	269	89	79	Folimanka-východ	2071
P02-202001	926	902	127299	D	50	4	5	0	1	45	0	2	0	0	1	0	10	12	27	543	656	83	73	Nuselské údolí	4269
P02-202001	523	503	127302	D	39	3	4	1	3	38	0	4	0	0	1	0	4	12	36	259	321	81	64	Vyšehrad	2134
P02-202001	805	768	127311	D	50	3	4	1	5	41	0	3	0	0	1	0	12	15	21	487	604	81	79	Podskalí	2838
P02-202001	734	702	127329	D	50	4	8	1	3	41	0	6	1	0	1	0	15	14	18	475	576	82	82	Zderaz	3395
P02-202001	9	9	127574	D	0	0	4	0	0	4	0	0	0	0	0	0	0	19	76	0	2	19	24	U Rajské zahrady	50
P02-202001	326	282	305774	D	31	6	3	1	4	27	0	5	2	0	1	0	4	22	33	128	190	68	67	Štìpánský obvod-východ	1634
P02-202001	6	6	305804	D	18	0	14	0	7	32	0	0	0	0	0	0	0	19	42	2	4	67	58	Nad Nuselským údolím	0
P02-202001	0	0		D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	84	Infinity		
P02-202001	645	593	127167	N	58	6	4	0	0	49	0	3	0	0	1	1	14	12	19	410	482	85	81	Námìstí Míru	3212
P02-202001	830	783	127175	N	63	10	6	0	0	60	0	3	0	0	1	0	15	12	8	624	717	87	92	Londýnská	6180
P02-202001	288	254	127183	N	25	3	1	0	0	24	0	0	0	0	0	0	4	6	63	79	93	85	37	Albertov	646
P02-202001	449	398	127191	N	58	7	5	0	0	49	0	4	0	0	1	0	15	10	18	285	326	87	82	Štìpánský obvod-západ	3304
P02-202001	299	283	127205	N	63	9	5	0	0	56	0	2	0	0	1	0	17	12	10	220	253	87	90	Nad muzeem	2501
P02-202001	6	6	127213	N	48	7	5	0	0	20	0	14	1	1	0	0	22	3	38	4	4	95	62	Hlavní nádraží	0
P02-202001	658	643	127221	N	65	5	6	0	0	57	0	3	0	0	1	1	14	8	16	490	542	90	84	Na Smetance	2580
P02-202001	231	230	127230	N	39	5	7	2	4	46	0	2	0	0	0	0	5	13	23	146	177	83	77	Riegrovy sady	0
P02-202001	683	674	127248	N	67	6	8	3	0	63	0	4	0	0	1	0	15	9	8	558	620	90	92	U Riegrových sadù	4509
P02-202001	1128	1098	127256	N	66	7	6	1	1	61	0	3	0	0	1	0	15	9	10	887	985	90	90	U Èechových sadù	4971
P02-202001	54	54	127264	N	66	7	6	1	0	64	0	3	0	1	1	2	10	8	12	43	48	91	88	Havlíèkovy sady	14
P02-202001	979	931	127272	N	59	8	4	1	0	56	0	2	0	0	0	0	11	12	16	668	782	85	84	Na Kleovce	4633
P02-202001	350	342	127281	N	70	3	5	0	0	59	1	2	0	0	1	0	16	7	14	268	293	92	86	Folimanka-východ	2071
P02-202001	445	437	127299	N	62	5	5	1	0	58	0	1	0	0	1	0	11	10	19	314	356	88	81	Nuselské údolí	4269
P02-202001	249	241	127302	N	56	4	3	0	0	54	0	3	0	0	0	0	6	11	24	158	184	86	76	Vyšehrad	2134
P02-202001	497	484	127311	N	71	3	4	1	0	59	0	2	0	0	1	0	16	9	13	376	419	90	87	Podskalí	2838
P02-202001	576	551	127329	N	59	4	7	1	0	49	0	4	0	0	1	0	16	9	20	393	442	89	80	Zderaz	3395
P02-202001	9	9	127574	N	0	0	1	0	0	0	0	0	0	0	0	0	1	8	91	0	1	11	9	U Rajské zahrady	50
P02-202001	109	81	305774	N	48	5	4	0	0	47	1	0	4	0	0	0	5	10	32	46	55	85	68	Štìpánský obvod-východ	1634
P02-202001	0	0		N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	84	Infinity		
P02-202001	13	13	127167	X	38	8	8	0	0	38	0	8	0	0	0	0	8	15	31	7	9	78	69	Námìstí Míru	3212
