KOD	NAZ_ZSJ	SHAPE_Area	Obyv_total	CELKEM_PS	PS_ZPS	TYPZONY	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	PS_ZPS_RATIO
127167	Náměstí Míru	181657.806338	3212	842	769	3	595	237	0	10	545	224	0	0	5
127175	Londýnská	278059.716026	6180	1303	1007	8	837	248	0	218	780	227	0	0	7
127183	Albertov	617224.542453	646	1321	1183	3	194	1084	0	43	175	1008	0	0	1
127221	Na Smetance	146605.418222	2580	713	689	3	567	145	0	1	556	133	0	0	4
127191	Štěpánský obvod-západ	215259.328438	3304	527	450	3	378	139	0	10	333	117	0	0	8
127205	Nad muzeem	127477.335301	2501	412	387	3	308	102	0	2	290	97	0	0	7
127213	Hlavní nádraží	183743.583915	0	63	55	3	3	57	0	3	3	52	0	0	0
130982	Rohanský ostrov	191964.746314	260	195	140	3	25	119	0	51	25	115	0	0	2
130991	Karlín-sever	656629.36756	0	109	107	2	0	109	0	0	0	107	0	0	0
131008	U libeňského zámku	908177.388807	93	206	69	8	5	67	0	134	5	64	0	0	2
129291	Ořechovka	893903.877052	2523	343	306	3	276	67	0	0	241	65	0	0	9
129305	Střešovice-jih	651546.965406	4365	854	831	3	740	113	0	1	723	108	0	0	6
129313	Strahovské koleje	210729.497652	663	11	11	2	0	11	0	0	0	11	0	0	61
129411	Staré Vokovice	433557.309257	2625	686	672	3	515	169	0	2	509	163	0	0	4
129437	Nad Šárkou	75465.6202428	0	62	60	2	0	62	0	0	0	60	0	0	0
129488	Juliska	118785.653709	35	9	7	2	0	9	0	0	0	7	0	0	5
129496	Vozovna Podbaba	260095.042861	927	123	121	3	40	83	0	0	40	81	0	0	8
129500	U Internationálu	312266.423899	4151	987	933	3	548	434	0	5	528	405	0	0	5
129518	Vysoké školy	462855.692421	429	728	689	3	96	620	0	12	95	582	0	12	1
129526	Úřednická kolonie	171970.313312	2851	626	594	3	347	277	0	2	332	262	0	0	5
129321	Kajetánka	205239.150214	670	201	189	3	172	29	0	0	160	29	0	0	4
129330	Na bateriích	171568.084817	1539	73	66	3	52	17	0	4	49	17	0	0	24
130176	Císařský ostrov II	853479.17943	14	234	133	7	0	133	0	101	0	133	0	0	1
130443	Za střelnicí	352460.574261	5524	1344	1276	3	1073	264	0	7	1037	239	0	0	5
130478	Horní Kobylisy	412870.625192	2164	1151	1126	3	847	301	0	3	835	291	0	0	2
130516	Pod Čimickým hájem	290565.666866	2076	525	494	3	474	51	0	0	448	46	0	0	5
130117	Nádraží Bubny	420357.191279	58	32	32	3	14	18	0	0	14	18	0	0	2
130125	Bubny	307822.982584	8577	1695	1457	11	1368	91	89	147	1284	88	85	0	6
130133	Veletržní palác	226687.728732	4824	910	837	6	717	75	97	21	674	71	92	0	6
130141	U Sparty	307980.909847	6409	1174	1122	3	1026	148	0	0	980	142	0	0	6
130168	Královská obora	1112583.06915	29	106	106	6	73	17	16	0	73	17	16	0	1
129356	Starý Veleslavín	445017.857647	925	215	211	3	131	84	0	0	128	83	0	0	5
129364	Petřiny I	438973.067796	4345	975	944	3	734	239	0	2	711	233	0	0	5
129372	Petřiny II	313378.307085	2851	664	627	3	574	86	0	4	551	76	0	0	5
129381	Petřiny III	357045.380369	2956	945	925	3	756	188	0	1	742	183	0	0	4
129453	Dolní a Horní Šárka	1513529.804	131	7	7	1	7	0	0	0	7	0	0	0	19
129534	Nádraží Dejvice	203757.817142	36	195	178	3	70	121	0	4	67	111	0	0	1
129542	U Písecké brány	79086.3569607	205	407	399	3	204	203	0	0	200	199	0	0	1
129551	Na hradbách	330713.802861	7	240	200	3	38	164	0	38	38	162	0	0	1
