Season	SecCode	Kc_PS	Kc_sum	Min_sum	Min_med	Min_avg	Kc_med	Kc_avg	Tr_cnt	PS_ZPS	TYPZONY	KOD_ZSJ
P00-202001	P8-1231	70	1043	7803	105	434	54	58	18	15	1	130508
P00-202001	P8-0229	65	1041	3063	62	96	26	33	32	16	2	130958
P00-202001	P8-0927	11	370	606	60	76	40	46	8	33	1	130672
P00-202001	P8-2239	4	122	903	60	301	40	41	3	29	1	130478
P00-202001	P8-0445	105	945	945	75	63	75	63	15	9	1	130907
P00-202001	P8-1130	82	2057	6933	90	133	30	40	52	25	2	130478
P00-202001	P8-1505	17	1788	9163	60	218	40	43	42	104	1	130737
P00-202001	P8-1527	29	544	1559	60	104	40	36	15	19	1	130508
P00-202001	P8-2241	88	528	6625	60	349	20	28	19	6	2	130478
P00-202001	P8-0339	75	1202	10996	90	733	43	80	15	16	2	130915
P00-202001	P8-0875	4	130	390	60	78	20	26	5	29	2	130699
P00-202001	P8-2134	7	160	240	60	48	40	32	5	24	1	306380
P00-202001	P8-1021	23	505	6186	60	442	38	36	14	22	1	130737
P00-202001	P8-1423	12	381	5643	75	627	40	42	9	32	1	306371
P00-202001	P8-0364	106	1899	2620	60	94	60	68	28	18	1	130940
P00-202001	P8-0950	23	398	2038	90	291	60	57	7	17	1	130656
P00-202001	P8-1148	36	464	2841	90	167	30	27	17	13	2	130478
P00-202001	P8-1152	48	475	2151	90	127	30	28	17	10	2	130478
P00-202001	P8-0108		255	510	60	64	30	32	8			
P00-202001	P8-2214	18	110	330	45	55	15	18	6	6	2	130478
P00-202001	P8-1369	126	880	3395	50	170	30	44	20	7	1	130478
P00-202001	P8-0232	17	405	405	30	58	30	58	7	24	1	130958
P00-202001	P8-0149	61	3171	7492	60	147	45	62	51	52	1	130966
P00-202001	P8-0151	124	1730	6051	60	275	60	79	22	14	1	130966
P00-202001	P8-1107	16	1026	3339	45	98	30	30	34	64	1	130443
P00-202001	P8-2227	31	280	453	68	76	45	47	6	9	1	130478
P00-202001	P8-0876	39	350	525	45	75	30	50	7	9	1	130699
P00-202001	P8-1133	32	450	675	45	56	30	37	12	14	1	130478
P00-202001	P8-1506	5	520	937	90	104	60	58	9	109	1	130516
P00-202001	P8-0873	3	90	135	60	45	40	30	3	33	1	130699
P00-202001	P8-0823	13	280	420	60	52	40	35	8	21	1	130702
P00-202001	P8-1003	45	450	3043	30	179	20	26	17	10	1	130702
P00-202001	P8-0813	145	1301	9202	60	271	38	38	34	9	1	130699
P00-202001	P8-0236	44	525	525	75	75	75	75	7	12	1	130958
P00-202001	P8-0258	280	3084	6266	60	142	60	70	44	11	1	130958
P00-202001	P8-2009	5	190	285	15	41	10	27	7	35	1	130851
P00-202001	P8-0215	95	1333	4647	47	179	38	51	26	14	1	316989
P00-202001	P8-1135	16	360	540	60	60	40	40	9	23	1	130478
P00-202001	P8-0882	18	460	690	60	69	40	46	10	26	1	130699
P00-202001	P8-2138	3	30	45	45	45	30	30	1	12	1	306380
P00-202001	P8-2206	21	419	1349	45	112	30	35	12	20	1	306380
P00-202001	P8-0318	95	285	285	23	36	23	36	8	3	1	130915
P00-202001	P8-1407	11	80	120	120	120	80	80	1	7	1	130656
P00-202001	P8-0922	20	140	420	45	105	15	35	4	7	2	130656
P00-202001	P8-0504	43	255	255	45	43	45	43	6	6	1	130893
P00-202001	P8-2213	7	170	255	75	64	50	43	4	23	1	130478
P00-202001	P8-1521	11	320	480	60	69	40	46	7	28	1	130508
P00-202001	P8-2120	3	20	30	30	30	20	20	1	6	1	130648
P00-202001	P8-1138	30	150	1666	833	833	75	75	2	5	1	130508
P00-202001	P8-0306	13	990	990	60	52	60	52	19	79	1	130958
P00-202001	P8-1329	14	85	1569	785	785	43	43	2	6	1	130478
P00-202001	P8-1006	8	58	808	404	404	29	29	2	7	1	130729
P00-202001	P8-0505	16	664	2858	60	220	56	51	13	42	1	130907
P00-202001	P8-0344	92	1383	11449	67	347	30	42	33	15	2	130915
P00-202001	P8-0928	3	40	174	87	87	20	20	2	16	1	130672
P00-202001	P8-1242	65	970	1553	75	78	50	48	20	15	1	130508
P00-202001	P8-0131	33	330	660	60	73	30	37	9	10	2	130966
P00-202001	P8-1170		262	4386	90	548	30	33	8			
P00-202001	P8-0841	41	530	795	38	57	25	38	14	13	1	130699
P00-202001	P8-0310	265	795	795	60	66	60	66	12	3	1	130958
P00-202001	P8-2135	15	160	240	45	48	30	32	5	11	1	306380
P00-202001	P8-0431	49	884	2324	68	166	60	63	14	18	1	130907
P00-202001	P8-0502	35	1640	5240	45	250	45	78	21	47	1	130893
P00-202001	P8-1501	5	190	2811	60	562	40	38	5	41	1	130737
P00-202001	P8-0308	16	390	390	45	43	45	43	9	24	1	130940
P00-202001	P8-1143	268	1070	3225	45	85	15	28	38	4	2	130478
P00-202001	P8-1324	43	900	2721	90	113	30	38	24	21	2	130478
P00-202001	P8-1011	36	710	1065	45	67	30	44	16	20	1	130699
P00-202001	P8-0235	21	210	210	60	70	60	70	3	10	1	130958
P00-202001	P8-1529	4	190	285	75	71	50	48	4	51	1	130508
P00-202001	P8-0337	11	491	5972	60	543	30	45	11	43	1	130915
P00-202001	P8-2105	9	80	240	60	48	20	16	5	9	2	130842
P00-202001	P8-0311	26	360	360	45	45	45	45	8	14	1	130940
P00-202001	P8-1528	13	603	5946	90	541	50	55	11	45	1	130508
P00-202001	P8-0879	58	347	2482	90	207	24	29	12	6	2	130699
P00-202001	P8-2131	15	190	285	68	71	45	48	4	13	1	306380
P00-202001	P8-2103	3	20	30	30	30	20	20	1	7	1	130648
P00-202001	P8-1309	7	40	60	60	60	40	40	1	6	1	130478
P00-202001	P8-2200	10	40	60	30	30	20	20	2	4	1	306363
