Season	TARIFPA	CODE	KOD_ZSJ	STREETNAME	Price	Trans	dff	Mths	age	Tr_MONTH	Tr_DAY
P00-201912	39	3000093	127515	VINOHRADSK¡	40147	814	152864	3	23	272	10
P00-201912	39	3000092	127493	VINOHRADSK¡	203023	4468	1087356	3	23	1490	50
P00-201912	39	3000090	127523	KORUNNÕ	52905	987	201318	3	23	329	11
P00-201912	31	3000089	127515	äROB¡ROVA	139442	2299	663932	3	23	767	26
P00-201912	10	3000088	127507	äROB¡ROVA	120517	4141	900832	3	23	1381	47
P00-201912	10	3000087	127507	U VINOHRADSK…HO HÿBITOVA	69883	2498	390058	3	23	833	28
P00-201912	10	3000086	127507	HOLLAROVO N¡M.	149492	4558	996680	3	23	1520	51
P00-201912	31	3000085	127370	OLäANSK¡	90330	2278	340167	3	23	760	26
P00-201912	31	3000084	127370	OLäANSK¡	56894	1431	198546	3	23	477	16
P00-201912	31	3000083	127370	OLäANSK¡	111581	3209	293669	3	23	1070	36
P00-201912	31	3000082	127370	OLäANSK¡	89983	1766	251945	3	23	589	20
P00-201912	31	3000081	127370	OLäANSK¡	41433	842	218265	3	23	281	10
P00-201912	31	3000080	127370	OLäANSK¡	64853	1677	177523	3	23	559	19
P00-201912	31	3000079	127370	OLäANSK¡	23087	579	63566	3	23	193	7
P00-201912	31	3000078	127370	OLäANSK¡	84499	1747	246687	3	23	583	20
P00-201912	31	3000077	127370	OLäANSK¡	45353	745	173944	3	23	249	9
P00-201912	31	3000076	127493	OLäANSK¡	67765	1223	383726	3	23	408	14
P00-201912	31	3000075	127370	SAUEROVA	7915	170	26305	3	23	57	2
P00-201912	31	3000074	127370	CHEL»ICK…HO	32464	782	166592	3	23	261	9
P00-201912	31	3000073	127388	CHEL»ICK…HO	138516	2146	778422	3	23	716	24
P00-201912	39	3000072	127388	T¡BORITSK¡	44217	721	256892	3	23	241	9
P00-201912	39	3000071	127388	SEIFERTOVA	76277	1261	403857	3	23	421	15
P00-201912	39	3000070	127388	MILÕ»OVA	61717	1042	280348	3	23	348	12
P00-201912	39	3000069	127582	SEIFERTOVA	118907	1644	556809	3	23	548	19
P00-201912	31	3000068	127574	SEIFERTOVA	77469	1336	480478	3	23	446	15
P00-201912	31	3000067	127582	HUSINECK¡	40342	658	204981	3	23	220	8
P00-201912	31	3000066	127582	HUSINECK¡	37091	656	208587	3	23	219	8
P00-201912	39	3000065	127582	HUSITSK¡	26844	469	181986	3	23	157	6
P00-201912	39	3000064	127582	HUSITSK¡	33615	585	174096	3	23	195	7
P00-201912	31	3000063	127582	KOSTNICK… N¡M.	145131	2311	909257	3	23	771	26
P00-201912	39	3000062	127388	HAVLÕ»KOVO N¡M.	73040	1264	357171	3	23	422	15
P00-201912	39	3000061	127388	PROKOPOVA	77147	1259	340975	3	23	420	14
P00-201912	39	3000060	127396	PROKOPOVA	35542	605	171689	3	23	202	7
P00-201912	39	3000059	127396	PROKOPOVA	121627	1713	572299	3	23	571	20
P00-201912	39	3000058	127396	KONÃVOVA	43887	816	219865	3	23	272	10
